Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/04/23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;12:59:47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;762.392090;674.270142;109.363777;874.487305;701.147095;97.730789;828.353699;619.362366;110.363152;1081.088867;805.706299;210.455597;1095.733887;788.057556;301.778015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;762.418152;674.260986;109.347717;874.059204;701.331604;97.928284;828.422729;619.580811;110.265686;1081.133423;805.670654;210.496216;1095.735352;788.048523;301.936981;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;762.425110;674.272217;109.370857;873.995117;701.367126;98.044769;828.372925;619.609802;110.234154;1081.128418;805.684875;210.524033;1095.672363;788.155518;302.022552;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;762.418457;674.349426;109.358452;874.024780;701.436462;98.011574;828.432800;619.531006;110.265526;1081.059814;805.751709;210.589920;1095.592163;788.178955;302.080811;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;762.402710;674.377808;109.385269;874.135986;701.362000;97.957489;828.347290;619.433838;110.277695;1080.986572;805.704834;210.684235;1095.634277;788.213867;302.147156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;762.409119;674.364502;109.365692;874.172241;701.311829;97.869751;828.369751;619.420593;110.276291;1080.977539;805.796387;210.710815;1095.597778;788.215332;302.239502;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;762.491516;674.393188;109.281456;874.122986;701.316711;97.870827;828.445374;619.473877;110.283958;1080.919434;805.820190;210.765198;1095.584961;788.213867;302.251740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;762.487366;674.464233;109.327721;874.149292;701.414490;97.938316;828.501038;619.528748;110.292259;1080.906982;805.817566;210.774689;1095.577759;788.313171;302.370728;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;762.500916;674.501221;109.285477;874.176208;701.272522;97.726707;828.507019;619.554321;110.284409;1080.848022;805.820801;210.829178;1095.514404;788.334534;302.453430;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
