Weight62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:07:46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;885.902710;670.330566;112.851830;1094.713501;799.515259;204.589523;1106.528687;791.932983;394.117981;806.211182;611.058960;104.641846;768.237854;683.569458;116.398125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;885.667786;670.323608;113.245926;1094.679688;799.707886;204.606308;1106.283569;791.956299;394.065094;806.204956;611.167114;104.605064;768.065430;683.547424;116.477760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;885.387878;670.343384;113.847137;1094.665161;800.011414;204.534195;1106.048584;792.017090;394.048706;806.026062;611.219604;104.768929;767.922974;683.546204;116.548698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;885.196960;670.327026;114.601059;1094.520508;800.282654;204.557526;1105.544556;792.093079;394.204681;805.875610;611.310486;104.959198;767.713257;683.544312;116.610634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;885.031616;670.347412;115.142235;1094.523560;800.565613;204.597382;1105.231567;792.205505;394.234772;805.620911;611.325562;105.243774;767.476807;683.557190;116.650635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;884.981201;670.402344;115.793236;1094.456421;800.869751;204.573364;1104.934448;792.274536;394.084076;805.372742;611.508789;105.713264;767.552429;683.511963;116.498711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;884.760132;670.486816;116.752083;1094.276733;801.184570;204.519806;1104.615234;792.374146;393.964233;805.047546;611.665527;106.253166;766.894958;683.606018;116.728645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;884.494629;670.486206;117.823860;1094.257813;801.576477;204.530487;1104.231445;792.538391;393.873016;804.746460;611.675781;107.215347;766.411865;683.717834;117.178474;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;884.383423;670.701904;118.734894;1094.205200;801.972778;204.489120;1103.693359;792.735962;393.719910;804.382263;611.894836;108.152771;766.019592;683.882141;117.639923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;884.235413;670.968811;119.246780;1094.087036;802.384827;204.477768;1103.326050;792.827637;393.554962;803.912537;612.163696;108.821449;765.726013;684.142883;117.999542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
