Weight60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:17:12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;;*19;;;*20;;;*21;;;*22;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;859.251404;700.153870;108.529709;810.981140;608.147156;105.980751;744.705383;657.693054;111.443169;1111.316650;836.301331;365.097198;1078.912598;854.984314;190.981110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;857.919128;700.169861;109.254242;809.882446;609.495911;106.863182;743.698059;657.940735;111.743698;1110.275024;836.470520;365.076599;1077.651855;855.562561;191.311539;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;857.243835;700.078430;110.000870;808.391357;609.000366;108.164940;742.619934;658.472229;111.526947;1109.517090;836.606812;365.127655;1076.247803;855.897949;191.268524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;855.568848;700.169678;110.449928;807.069336;608.856262;109.555962;741.417542;658.682556;111.237213;1108.371704;836.770874;365.248260;1074.878174;855.975464;191.253494;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;854.341187;700.517334;111.253479;805.541321;609.107971;110.720131;739.742737;658.699158;112.003517;1107.348511;837.029907;365.039215;1073.727783;856.130493;191.642471;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;853.200073;700.887024;112.062607;804.244019;609.329834;111.344223;738.381714;658.648376;112.822174;1106.373779;837.030823;364.904205;1072.585815;856.675781;191.559753;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;851.868774;700.835144;112.788582;802.436035;609.757141;112.705162;737.206970;659.075195;113.089371;1104.950195;837.241943;364.772430;1071.459717;857.109314;191.307404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;849.516724;700.935486;113.777817;801.085205;609.834045;113.707878;735.469727;659.297119;114.547508;1103.848267;837.497253;365.198364;1069.894287;857.570557;191.132874;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;848.101990;701.215027;114.553909;799.375671;609.769348;114.783722;734.076660;659.449646;115.943024;1102.828491;837.585815;365.361176;1068.112793;858.045166;191.445282;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
