Weight64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date:;2025/05/06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time:;14:17:22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type:;test;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Description:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes:;"";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRAJECTORIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200.000000;Hz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;*1;;;*2;;;*3;;;*4;;;*5;;;*6;;;*7;;;*8;;;*9;;;*10;;;*11;;;*12;;;*13;;;*14;;;*15;;;*16;;;*17;;;*18;;
Field #;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z
1;811.610718;716.767456;143.950134;699.086548;674.185364;152.733276;764.409058;624.913147;148.095642;1055.744385;846.575134;368.067749;1028.800171;887.755005;199.938385;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;807.914124;716.799377;145.216003;695.219116;674.741699;155.099396;760.499390;625.363403;149.949310;1054.352173;846.431396;368.170959;1026.320679;887.401184;200.264297;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;804.838501;717.164124;145.266357;691.166138;675.501221;156.808838;756.087891;625.745361;151.835312;1052.824951;846.292114;367.665619;1022.567139;887.362854;200.468079;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;801.291809;717.499390;146.231003;687.125549;676.212952;157.972549;752.478577;626.264160;152.860748;1050.980225;846.252380;367.441315;1019.168945;887.188843;200.546402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;796.870789;717.822815;147.896927;683.155029;677.009888;159.271744;747.882874;626.737061;154.303925;1049.136963;846.304993;367.612030;1016.174072;886.655823;200.563751;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;792.352966;718.285645;148.907578;678.847168;677.451782;160.996658;743.041321;627.227600;155.925217;1047.474731;846.177429;367.161224;1012.263916;886.230591;200.563507;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;788.005981;718.306824;149.331192;674.400452;678.108276;162.244507;738.514771;627.614380;157.140533;1045.339233;846.107239;367.136810;1008.512695;885.734009;201.060745;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;783.452271;718.659424;150.327530;669.692444;678.894714;163.516006;733.724548;627.856262;158.118011;1043.100464;846.144165;367.245789;1004.813843;885.333069;201.114304;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;779.078857;718.733704;150.938782;665.359070;679.683350;164.803940;728.944153;628.308655;159.003159;1041.211792;846.086060;366.851074;1001.376404;884.660278;201.087967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;774.710510;718.893188;151.422394;660.506531;680.347107;166.313950;723.914429;628.798584;159.806870;1039.094849;845.736633;366.711395;997.388733;884.046753;201.423141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;769.923523;719.032715;152.164383;655.651123;680.955139;167.538788;718.777832;629.226685;160.609222;1036.777832;845.793518;366.417938;993.145691;883.599609;201.318024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;765.133789;719.040161;153.048630;650.714111;681.626221;168.392044;713.668640;629.565613;161.159042;1034.410889;845.510193;365.970886;989.229004;882.711060;201.071381;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;760.427185;719.299744;153.729568;645.898560;682.198608;169.379959;708.731323;629.892883;161.497330;1032.142578;845.303894;365.849121;985.303711;881.954102;201.354675;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;755.533325;719.601868;153.893204;640.954895;682.780884;170.651489;703.734497;630.238770;161.576401;1029.695679;844.933411;365.595612;981.191467;881.190063;201.524460;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;750.618713;719.698792;153.915497;635.983582;683.355591;171.725037;698.505432;630.487366;161.690857;1027.462158;844.645691;365.565887;977.423157;880.216125;201.322189;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;745.491333;719.705688;154.382767;631.021423;683.954285;172.520203;693.223938;630.795593;162.261887;1024.835083;844.600220;365.147949;973.219788;879.521301;201.630569;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;740.286133;719.975586;154.897583;626.137817;684.611938;173.067642;687.902771;631.232605;162.877014;1022.774109;844.137817;365.326080;968.952454;878.708679;202.055267;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;735.206604;719.989807;155.351318;621.285339;685.430603;173.469666;682.503723;631.654785;163.281433;1019.649292;843.997009;364.704865;964.743896;877.474060;201.859543;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;730.819092;720.243652;154.686813;616.073730;686.105591;174.284302;677.181030;632.022217;163.354324;1017.440186;843.547241;364.376526;960.135620;876.420959;202.061417;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;726.249207;720.392944;154.361938;610.781921;686.605103;174.839828;671.719421;632.345764;163.383133;1014.489380;842.680115;363.652222;956.018860;875.427917;202.294373;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;720.878052;720.640808;154.836349;605.656433;687.255737;175.372635;666.237244;632.841370;163.171234;1012.277466;842.403870;363.663147;952.326294;874.225220;201.710663;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;715.738525;720.842529;154.460129;600.728577;687.931580;174.890991;660.754883;633.448486;163.123795;1009.364746;841.730469;363.325104;947.501648;873.004578;201.771698;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;710.880249;721.142456;154.309433;595.779480;688.741089;175.297058;655.315308;633.794861;163.067093;1006.772461;841.416138;363.311035;943.256042;871.929993;201.814636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;705.333679;721.258179;154.843353;590.314819;689.337036;175.945038;649.938049;634.282593;162.963928;1004.018066;840.731628;362.746246;939.146057;870.412964;202.150940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;699.970276;721.401184;155.125473;585.004517;690.060120;176.180237;644.214905;634.838867;162.552887;1001.075317;840.205017;362.462769;934.722351;869.207458;202.453842;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;695.271851;721.452515;154.558762;579.689941;690.854797;176.018906;638.714722;635.148743;162.201111;998.330383;839.412048;362.007080;929.932373;868.341797;202.722168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;690.415100;721.529663;154.096878;574.557007;691.567017;176.067673;633.310303;635.499390;161.898926;995.649780;838.993042;361.338318;925.585144;866.802856;202.956741;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;685.682983;721.558167;154.123322;569.428711;692.295654;176.014725;627.965393;635.842957;161.834808;992.713806;838.164307;361.626587;921.505676;865.553406;202.913101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;680.594299;721.959229;153.763382;564.252747;693.091492;175.871979;622.434265;636.430725;161.678360;990.046814;837.531433;360.886566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;675.584839;722.039185;153.336945;559.228271;693.737671;176.075058;617.187805;636.880615;161.234268;987.416077;837.114990;360.968475;;;;913.275024;863.041992;202.855209;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;670.716309;722.313110;153.253784;554.433533;694.398560;175.747040;611.919128;637.313843;160.699722;984.349304;836.439453;359.868469;;;;909.703491;861.751465;202.206558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;665.404419;722.762695;153.060532;549.637207;695.002197;175.389984;606.989624;637.692444;160.567322;981.577393;835.350220;359.728638;;;;905.506836;860.470764;202.645477;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
