Zigzag59;;;
Date:;2025/05/06;;
Time:;14:12:34;;
Type:;test;;
Description:;"";;
Notes:;"";;
TRAJECTORIES;;;
200.000000;Hz;;
;*1;;
Field #;X;Y;Z
1;856.824097;288.723175;27.966249
2;856.561890;282.306427;27.291395
3;856.300903;275.212952;27.631340
4;855.947510;268.406464;27.378057
5;855.736023;261.746460;27.523302
6;855.420593;254.931168;27.449955
7;854.976318;247.816101;27.183033
8;854.948364;240.989441;27.233837
9;855.021179;234.554398;26.895266
10;854.922058;227.686844;27.333971
11;854.708313;221.384354;27.042934
12;854.775757;214.980865;27.104986
13;854.639954;209.220825;26.977476
14;854.349487;203.378998;26.814859
15;854.345215;198.129242;26.533474
16;854.085205;193.212845;26.611191
17;853.517151;188.043991;26.893303
18;853.204163;183.738342;26.771856
19;852.655640;179.817261;26.650793
20;852.052856;176.361649;26.799858
21;851.488037;173.765305;26.263302
22;850.737427;171.161362;26.173912
23;849.735352;169.041107;26.397383
24;848.791382;167.410568;26.002512
25;847.922302;166.344437;25.743061
26;846.876160;165.115295;25.977827
27;845.811523;164.520996;26.043514
28;844.726501;164.321579;25.934864
29;843.811829;164.375336;25.886517
30;842.617126;164.629761;25.865187
31;841.598450;165.150803;26.390688
32;840.473816;165.964737;26.882439
33;839.129211;167.425308;26.782665
34;837.501160;169.534637;26.198647
35;835.674988;172.714554;26.485188
36;833.441528;176.115738;26.481920
37;831.174194;179.650146;26.582991
38;828.587219;183.706299;26.647491
39;826.200500;188.207031;26.793123
40;823.236023;193.042160;26.481491
41;820.482361;198.605728;26.742779
42;817.332458;204.819916;26.526598
43;814.041870;210.809723;26.273399
44;810.527222;217.722900;25.921497
45;806.814331;224.655441;26.306150
46;802.883545;232.326233;26.277466
47;799.505554;239.853699;26.411074
48;795.739075;247.468460;26.011604
49;791.705688;255.587891;25.908470
50;787.815491;263.922150;26.184616
51;784.197510;272.119171;26.349432
52;780.690857;280.338470;25.503395
53;776.995850;288.931580;25.133318
54;773.220886;297.730743;25.340742
55;769.639709;306.356812;25.712111
56;766.350647;314.930359;25.545246
57;763.156433;323.462921;25.638054
58;760.323242;331.751923;25.945610
59;757.292847;339.723328;25.399885
60;754.664551;347.513733;25.989803
61;752.398621;355.135529;26.617191
62;750.005432;362.023926;25.610413
63;748.039368;368.132507;26.224850
64;745.927673;373.794220;26.038712
65;744.062439;378.914673;26.349548
66;742.344482;383.472900;25.916512
67;740.967834;387.045197;26.047024
68;739.301636;390.058228;26.535484
69;738.118225;392.375793;26.116507
70;736.664734;394.463470;26.247787
71;735.966736;395.116577;26.010553
72;735.155029;395.712219;25.785128
