Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z;5_X;5_Y;5_Z
1;535.789063;615.864807;24.519907;435.522675;703.583252;54.104637;248.553802;714.215759;257.287811;144.360382;802.761169;477.731995;529.205322;700.63562;22.068789
2;536.061035;615.873779;24.022802;435.624634;703.584106;54.122295;248.467697;714.148682;257.280273;144.218735;802.773621;477.643707;529.210327;700.681274;22.07198
3;536.106812;615.869446;24.009583;435.622833;703.583313;54.106941;248.479218;714.12439;257.238983;144.093063;802.853333;477.650116;529.207031;700.644348;22.070181
4;535.861816;615.872009;24.239891;435.737305;703.650269;54.101997;248.328918;714.144226;257.310822;143.971848;803.036499;477.580017;529.204956;700.632935;22.068607
5;535.813782;615.856262;24.284813;435.776733;703.693726;54.102684;248.259399;714.15448;257.233429;143.878128;803.058167;477.536438;529.216492;700.640503;22.036985
6;535.858215;615.839783;24.236401;435.885132;703.678772;54.191715;248.188675;714.086304;257.358917;143.795471;803.221619;477.504578;529.236633;700.633362;22.027529
7;536.066772;615.860352;24.450256;435.987274;703.669922;54.274258;248.029953;713.987915;257.454254;143.651688;803.228516;477.522522;529.303284;700.59021;22.0818
8;536.04657;615.912476;24.524277;436.356689;703.666626;54.269825;247.881165;713.922791;257.50592;143.547714;803.378601;477.489136;529.319763;700.528809;22.056726
9;536.050964;615.919861;24.489929;436.268036;703.71283;54.565273;247.677856;713.76947;257.633026;143.500916;803.465881;477.140961;529.387451;700.507813;21.970545
10;536.16156;615.838867;24.481058;436.368439;703.693481;54.734211;247.487259;713.684387;257.742188;143.479675;803.549866;477.093628;529.464111;700.458313;21.988367
11;536.250793;615.771484;24.471878;436.634369;703.653442;54.872944;247.124847;713.639587;257.817444;143.380295;803.712524;477.232941;529.470093;700.399719;22.005825
12;536.366882;615.716675;24.533836;436.855927;703.657959;55.090313;246.737488;713.49408;257.955566;143.074417;803.835999;477.559784;529.540649;700.330139;22.051598
13;536.338806;615.531433;24.538469;437.056;703.621643;55.357471;246.31456;713.446167;258.050507;142.938751;803.925537;477.650665;529.509399;700.114258;21.956379
14;536.411804;615.381165;24.53232;437.256866;703.533569;55.563126;245.864075;713.377197;258.248108;142.896362;804.091064;477.611176;529.675598;700.15387;22.151823
15;536.402588;615.167969;24.419273;437.64563;703.397095;56.02742;245.244095;713.290588;258.339691;142.807709;804.181519;477.72168;529.806152;700.068237;22.237284
16;536.599182;614.911865;24.683931;438.148285;703.196289;56.48521;244.582336;713.293152;258.127289;142.707504;804.342529;477.815247;529.966736;699.961731;22.369715
17;536.791016;614.692444;24.705124;438.667969;702.807739;57.169682;243.585632;713.323181;258.002228;142.567978;804.510803;477.860291;529.377136;699.246033;21.865885
18;537.104553;614.504211;24.551723;439.426361;702.605774;57.949657;242.565155;713.459045;258.106567;142.488083;804.677551;477.897125;530.382507;699.460022;22.104551
19;537.524414;614.171265;24.598356;440.006927;702.292786;58.324162;241.622955;713.617676;258.117737;142.33728;804.838196;478.030518;531.300354;699.331055;22.619307
20;537.775208;613.768494;24.812641;440.841461;701.899048;59.276386;240.391983;713.861877;257.706451;142.23764;805.007568;478.038818;531.962952;699.113892;22.887196
21;538.085327;613.414124;24.965807;441.568787;701.624329;61.04464;239.209976;714.08197;257.536499;142.125046;805.253662;478.08783;532.493225;699.047607;23.050371
