Frame;1_X;1_Y;1_Z
1;340.014801;744.059937;75.383896
2;339.984741;742.85791;76.222626
3;339.998199;741.146973;77.518669
4;339.624207;739.455627;78.932533
5;339.295685;737.766785;79.801567
6;338.997803;735.546753;81.127274
7;338.980865;733.346497;81.766273
8;338.721344;730.962097;83.433708
9;338.440765;728.426636;84.767395
10;338.239319;725.617188;86.161263
11;338.032379;722.793945;87.15374
12;337.958221;719.746582;88.242012
13;337.736023;716.60376;89.18837
14;337.864166;713.403137;90.422318
15;337.632446;710.093201;91.364258
16;337.042999;706.667725;92.138237
17;336.85025;703.007446;92.723938
18;337.35199;699.615845;93.02813
19;337.35321;695.975891;94.034409
20;337.208038;692.325745;94.199265
21;337.32074;688.509094;94.766846
22;337.184784;684.895325;94.969742
23;337.121155;681.176086;95.201378
24;337.028046;677.236267;95.501183
25;337.305115;673.424133;95.3526
26;337.317017;669.338318;95.505867
27;336.93988;665.305603;96.196274
28;337.324951;661.245117;95.802704
29;337.227844;657.170227;95.828796
30;336.753174;653.151245;95.934242
31;336.910675;648.961975;95.737862
32;336.903931;644.617554;95.199402
33;336.603424;640.489807;94.786873
34;336.332428;636.55011;94.069733
35;336.49588;632.440063;94.122475
36;336.296967;628.238342;93.722122
37;336.093292;624.118652;93.561157
38;336.033264;620.18988;92.680931
39;336.295105;616.387939;92.361427
40;336.354065;612.364075;91.58876
41;336.214874;608.453674;91.085602
42;336.225037;604.610474;90.420784
43;336.489105;600.788269;90.233643
44;336.396454;596.926514;89.560654
45;336.167633;593.274719;88.93161
46;336.131592;589.795044;88.24157
47;335.985382;586.286499;88.12442
48;336.033142;582.678589;87.151314
49;336.347107;579.376221;86.477341
50;336.31897;575.900024;84.98922
51;336.242554;572.75354;84.050133
52;336.61673;569.562988;83.625618
53;336.747192;566.740784;83.013618
54;336.510254;563.843445;82.416389
55;336.692383;561.032837;81.688225
56;336.720795;558.345459;81.34671
57;336.725861;555.714966;80.672638
58;336.906891;552.942749;79.479652
59;336.963562;550.498596;78.968063
60;337.150269;548.245789;78.7463
61;337.000702;545.956299;78.694725
62;336.689087;543.526428;78.020416
63;336.532043;541.332092;77.175705
64;336.489716;539.255493;76.815247
65;336.897034;536.942017;75.995598
66;336.929169;534.980957;75.424698
67;336.729248;532.929688;74.974266
68;336.351929;530.994446;74.278358
69;336.193604;529.060364;73.295998
70;335.889954;527.098389;72.722031
71;335.928711;525.567322;72.225288
72;335.610535;524.115662;72.022186
73;335.636292;522.66864;71.646553
74;335.461761;521.46875;71.040131
75;335.445892;520.107483;70.345352
76;335.454803;518.918945;70.033592
77;335.467987;517.71991;69.847717
78;335.504028;516.597534;69.395515
79;335.394196;515.529846;68.65464
80;335.510834;514.558899;68.271881
81;335.534027;513.547729;68.118225
82;335.654236;512.540405;68.024796
83;335.756775;511.757965;67.853424
84;335.889709;510.948456;67.54451
85;335.991547;510.066498;67.419334
86;335.796112;509.028198;66.999847
87;336.150848;508.101868;66.288635
88;336.373627;507.446899;66.091858
89;336.555634;506.81839;66.079597
90;336.71048;506.107208;65.999237
91;337.013245;505.467224;65.96759
92;337.305359;504.804871;66.137634
93;337.561279;504.200073;66.237831
94;337.938354;503.53244;66.12056
95;338.260559;502.787994;65.545975
96;338.629517;502.212982;65.172234
97;339.180328;501.71759;64.791855
98;339.615631;501.608673;64.102783
99;339.907898;501.520111;63.729103
100;340.243439;501.540161;63.455547
101;340.733643;501.582703;62.837261
102;341.218567;501.649567;62.424377
103;341.498322;501.694763;62.157562
104;341.71701;501.648743;62.033356
105;341.812439;501.678894;61.977657
106;341.854706;501.658508;62.189507
107;341.937683;501.668793;62.287132
108;341.804443;501.753021;62.264297
109;341.745392;501.880096;62.210567
110;341.746307;501.934875;62.161327
111;341.703461;502.013611;62.160038
112;341.625031;502.039337;62.084663
113;341.597809;502.106506;61.997337
114;341.58786;502.040436;61.972027
115;341.763428;501.970734;61.973839
116;341.54895;501.983795;61.902855
117;341.481415;501.947998;61.89209
118;341.483856;501.948761;61.914791
119;341.624695;501.904022;61.860794
120;341.478394;501.910095;61.842434
121;341.441681;501.858459;61.891792
122;341.466522;501.90094;61.854939
123;341.431854;501.852509;61.850201
124;341.54834;501.921936;61.884365
125;341.614624;501.812012;61.814838
126;341.391418;501.808136;61.809715
127;341.38089;501.851501;61.829933
128;341.455719;501.852081;61.889751
129;341.433563;501.81601;61.889091
130;341.47229;501.795135;61.812111
131;341.507996;501.798157;61.803558
132;341.40509;501.843536;61.823673
133;341.435944;501.817841;61.760818
134;341.440826;501.81366;61.765041
135;341.606964;501.758942;61.763771
136;341.443512;501.726715;61.713749
137;341.392365;501.732697;61.736847
138;341.407684;501.746582;61.783005
139;341.40097;501.737671;61.753479
140;341.444244;501.710114;61.767521
141;341.482117;501.691101;61.779846
142;341.494202;501.717743;61.755894
143;341.515686;501.729279;61.781696
144;341.486755;501.790344;61.78038
145;341.480194;501.798828;61.77903
146;341.503662;501.78717;61.749832
147;341.497314;501.820374;61.746468
148;341.687836;501.758148;61.790157
149;341.534668;501.809326;61.748817
150;341.626099;501.799896;61.74934
151;341.446503;501.834412;61.731384
152;341.436707;501.909973;61.763748
153;341.444641;501.856537;61.753868
154;341.490479;501.822876;61.750744
155;341.55838;501.827423;61.729946
156;341.547302;501.816101;61.69109
157;341.597351;501.773071;61.725426
158;341.649719;501.765259;61.69593
159;341.617828;501.767303;61.656643
160;341.73526;501.767365;61.692757
161;341.742279;501.770935;61.726906
162;341.734924;501.758026;61.672642
163;341.815918;501.74292;61.702892
164;341.797272;501.752655;61.72123
165;341.819031;501.770844;61.718678
166;341.840881;501.757813;61.665619
167;341.828552;501.761017;61.728886
168;341.831879;501.758453;61.726944
169;341.88504;501.74585;61.629787
170;341.893341;501.754364;61.611313
171;341.838379;501.768646;61.633068
172;341.85672;501.744354;61.577133
173;341.885101;501.724854;61.645241
174;341.868683;501.736389;61.711533
175;341.857269;501.765076;61.672359
176;341.835693;501.820435;61.576855
177;341.85495;501.82489;61.566059
178;341.85257;501.795929;61.626411
179;341.840546;501.809235;61.557991
180;341.9039;501.821808;61.634838
181;341.887573;501.768005;61.622173
182;341.91568;501.747467;61.643105
183;341.919189;501.807434;61.613396
184;341.942749;501.819885;61.608452
185;341.938171;501.828247;61.657127
186;341.917084;501.815735;61.617893
187;341.916473;501.812744;61.60294
188;341.906616;501.843811;61.575474
189;341.908447;501.815186;61.569935
190;341.93103;501.819763;61.633438
191;341.913757;501.823914;61.641251
192;341.925018;501.838959;61.715237
193;341.968353;501.798126;61.589222
194;342.020203;501.783691;61.589577
195;341.967896;501.810638;61.597095
196;341.983032;501.8172;61.621117
197;341.972931;501.817017;61.616375
198;342.026367;501.776367;61.580772
199;342.012512;501.787781;61.62487
200;341.993347;501.80722;61.586803
201;342.021027;501.817688;61.597878
202;342.011383;501.771301;61.58913
203;342.026154;501.778381;61.599594
204;342.040253;501.798676;61.555508
205;342.014221;501.755188;61.48151
206;342.076599;501.751068;61.496017
207;342.094482;501.750702;61.503113
208;342.10321;501.740356;61.495079
209;342.070953;501.776062;61.47438
210;342.065521;501.765442;61.499229
211;342.084473;501.737701;61.449551
212;342.10025;501.746307;61.453712
213;342.110779;501.75058;61.520466
214;342.121155;501.766693;61.590786
215;342.095459;501.753845;61.539928
216;342.112823;501.747101;61.522575
217;342.117828;501.746796;61.523262
218;342.079498;501.743622;61.475327
219;342.105804;501.756622;61.541138
220;342.083557;501.754517;61.584942
221;342.095856;501.754883;61.568737
222;342.090729;501.75174;61.509182
223;342.082977;501.752167;61.566254
224;341.978149;501.760925;61.500065
225;342.050171;501.768555;61.600456
226;342.048157;501.766479;61.563717
227;342.065002;501.760071;61.604668
228;342.036438;501.770996;61.582088
229;342.018738;501.764648;61.541119
