Frame;1_X;1_Y;1_Z
1;878.54126;675.63501;119.104622
2;878.54126;675.63501;119.104622
3;878.496216;675.695374;119.018257
4;878.490417;675.614014;118.978905
5;878.455444;675.677612;118.831116
6;878.448975;675.661377;118.903625
7;878.3526;675.636536;118.906364
8;878.271973;675.715881;118.930313
9;878.307312;675.806213;118.749344
10;878.171448;675.94751;118.758591
11;878.151611;675.837646;118.916374
12;878.09668;675.866638;118.778214
13;877.972351;675.937622;118.867004
14;878.260376;675.80658;119.14592
15;877.837891;675.826904;119.209908
16;877.645142;675.969788;119.509178
17;877.340027;676.022888;119.992844
18;877.152344;676.003418;120.291069
19;877.076111;676.002136;120.556236
20;877.00238;676.075317;120.739861
21;876.822388;676.218262;121.143883
22;876.640625;676.391418;121.692703
23;876.529297;676.480042;121.909851
24;876.489258;676.676941;121.962685
25;876.446899;676.8302;122.024162
26;876.433105;676.973145;122.200127
27;876.335205;677.09259;122.34436
28;876.255798;677.177612;122.470352
29;876.115845;677.350952;122.623482
30;875.886597;677.519287;122.966972
31;875.729858;677.654907;123.274307
32;875.410767;677.90155;124.112801
33;875.205078;678.184692;124.609795
34;875.159546;678.515503;125.110397
35;874.947327;678.978699;125.986961
36;874.898621;679.116455;127.157082
37;874.755981;679.216553;128.139435
38;874.389832;679.380859;129.079956
39;874.224487;679.724182;129.901794
40;873.85907;680.078186;130.637039
41;873.383179;679.9729;131.878891
42;872.866089;679.956238;132.985046
43;872.255127;680.282166;134.165619
44;871.590637;680.585815;135.210617
45;870.946655;680.849609;136.277176
46;869.989319;681.076904;137.783279
47;869.065186;680.966003;139.797379
48;868.077759;680.858093;141.582962
49;867.375671;680.960571;142.726761
50;866.176514;681.397827;143.91304
51;864.986084;681.569702;145.434235
52;863.728149;681.007874;147.69545
53;862.269836;680.974792;149.443787
54;860.715637;681.336853;150.299698
55;859.330444;681.159729;152.642258
56;857.705383;680.935547;154.55751
57;856.045288;681.084473;155.692261
58;854.363831;681.209167;156.881088
59;852.540405;680.983154;159.214966
60;850.701538;681.063354;160.727493
61;849.091553;680.72522;162.646362
62;847.084961;680.920898;164.489609
63;844.79718;680.856018;165.316895
64;843.010193;680.411072;167.023178
65;840.854431;680.434814;168.597473
66;838.602173;680.135376;170.209534
67;836.047668;680.501953;171.499191
68;833.820618;680.207825;172.783859
69;831.71228;680.052368;173.664749
70;829.191589;679.421326;175.699783
71;826.358887;679.485046;177.24939
72;824.133789;679.169861;178.8255
73;821.292908;679.085083;179.563141
74;818.888794;678.913635;180.615662
75;815.969055;679.035828;181.318085
76;813.497986;678.718201;182.420151
77;810.129639;678.804749;183.477356
78;807.403992;678.746704;184.58403
79;804.712708;678.243042;185.799149
80;801.915344;678.453064;186.0056
81;798.90448;678.207947;186.157089
82;796.008118;677.993408;187.069382
83;792.690308;677.759949;187.838654
84;789.800476;677.389709;188.811798
85;786.320862;677.552795;189.153061
86;783.873779;677.381165;189.380783
87;780.610962;677.39386;189.64595
88;777.326904;677.394653;189.867157
89;774.221436;677.124329;190.35228
90;771.093079;676.862915;190.59407
91;767.661377;677.179565;190.09137
92;764.313599;676.978638;190.533478
93;760.764832;677.077393;190.323822
94;757.378418;677.620483;190.586456
95;754.506348;677.165527;190.474915
96;750.755676;677.313049;190.378525
97;747.571838;677.592957;189.760208
98;744.184387;677.764465;189.089417
99;741.046631;677.919128;188.616211
100;737.745178;677.665649;188.343079
101;734.87146;677.58429;187.810287
102;731.227112;678.063904;187.068192
103;728.333618;678.089111;186.742737
104;725.449524;678.022278;186.09845
105;721.700623;678.261169;185.180725
106;719.22583;678.355164;184.637222
107;715.701355;678.346985;184.262451
108;712.823486;678.332092;183.86058
109;709.885254;678.311584;182.565414
110;707.216736;678.209961;182.068863
111;704.42041;677.895264;181.181747
112;701.356506;678.108093;179.819382
113;698.69397;677.926514;179.134491
114;696.641235;677.665771;177.770477
115;693.775024;677.194031;177.385666
116;691.178101;677.306519;176.066574
117;688.514038;677.227722;175.759506
118;685.984192;677.18158;174.204422
119;683.386169;677.509216;173.354034
120;681.094666;677.163879;172.251389
121;679.080383;676.921997;171.135422
122;676.638;677.144104;169.823425
123;674.384888;677.156128;169.386597
124;672.306946;676.987061;168.415115
125;669.713928;676.765808;167.160599
126;667.886414;676.766846;166.267532
127;666.088501;676.432373;164.64621
128;663.738464;676.568726;163.309021
129;662.344421;676.411621;162.749313
130;660.469482;676.375854;161.235397
131;658.312317;675.982361;160.684586
132;656.814331;676.146545;159.230988
133;655.536011;676.109802;157.203873
134;653.580933;675.955811;156.71376
135;651.705872;675.953186;155.853256
136;650.374756;675.888794;154.248077
137;648.931702;675.610657;153.444412
138;647.329956;675.168762;152.824188
139;645.917053;675.17395;150.570221
140;644.788635;675.554626;149.304855
141;643.31311;675.460693;149.115463
142;641.65564;675.406189;147.979919
143;640.435913;675.031677;146.484604
144;639.21106;675.250671;144.847748
145;638.23938;675.577271;143.595047
146;637.200317;675.554688;142.388123
147;636.118774;675.354248;142.028152
148;634.587341;675.470398;140.853683
149;633.486145;675.561523;139.405518
150;632.697144;675.801758;137.849548
151;632.067932;675.585571;137.277252
152;630.965332;675.632019;136.825577
153;629.611938;676.139343;135.373062
154;628.393311;676.246094;134.247269
155;627.568115;676.300659;133.177231
156;626.916931;676.344116;132.043015
157;626.295532;676.425537;130.963165
158;625.804321;676.59198;130.061035
159;624.853333;676.588989;129.641617
160;623.858276;676.762695;129.202652
161;622.980103;677.267334;128.186584
162;622.397278;677.358826;127.234146
163;621.843506;677.25415;125.913017
164;621.341248;677.523438;125.182037
165;620.870056;677.733521;124.964066
166;620.45813;677.907471;124.192955
167;619.736267;678.2854;123.27813
168;619.209045;678.505554;122.59449
169;619.120789;678.394348;122.405342
170;618.821594;678.366516;122.054123
171;618.537903;678.600403;121.526527
172;617.800232;678.620422;121.234955
173;617.53418;678.986023;120.641869
174;617.398376;679.400757;119.564713
175;617.284912;679.517639;118.941422
176;617.124817;679.628967;118.659142
177;616.995361;679.617432;118.391426
178;616.932312;679.653442;118.136612
179;616.846863;679.685669;117.490868
180;616.703125;679.756226;116.839172
181;616.687805;679.746155;116.483421
182;616.831909;679.772705;116.134369
183;616.935608;679.701904;115.889214
184;617.059204;679.690491;115.769447
185;617.197632;679.677673;115.647346
186;617.287781;679.692078;115.601234
187;617.214294;679.938965;114.872566
188;617.335632;679.671814;115.281311
189;617.395447;679.52887;115.460793
190;617.397644;679.890076;114.754166
191;617.535156;679.688354;115.18515
192;617.599426;679.459351;115.422012
193;617.610291;679.416687;115.35495
194;617.66571;679.413025;115.24511
195;617.673401;679.323364;115.275551
196;617.635986;679.323792;115.172501
197;617.653931;679.28479;115.201309
198;617.425171;679.017883;115.33947
199;617.598083;679.024658;115.205811
200;617.707458;678.963745;115.162003
201;617.514893;678.791199;115.358459
202;617.405701;678.705566;115.37851
203;617.483276;678.590698;115.461487
204;617.736145;678.486267;115.209961
205;617.793213;678.40741;115.127144
206;617.645325;678.158386;115.247215
207;617.599731;677.980957;115.434914
208;617.914551;677.962708;115.377563
209;617.898132;677.721863;115.475136
210;617.869263;677.57251;115.530678
211;618.202454;677.627563;115.32959
212;618.494507;677.657471;115.006241
213;618.733948;677.51062;114.895821
214;618.848572;677.346741;114.889992
215;618.955566;677.23175;114.857018
216;618.970947;677.099487;114.810249
217;619.011108;676.996094;114.740402
218;619.244629;676.796387;114.793159
219;619.473389;676.580505;114.665878
220;619.747925;676.310303;114.68399
221;619.93457;675.937561;114.135635
222;620.018127;675.676208;114.210083
223;620.300476;675.497437;114.257683
224;620.283386;675.235229;114.028526
225;620.421692;675.103943;113.981232
226;620.292114;674.975342;113.902763
227;620.316895;674.867859;113.824455
228;620.383606;674.680176;113.531631
229;620.425293;674.662292;113.338661
230;620.602478;674.597168;113.316154
231;620.939392;673.665833;113.752525
232;620.422607;674.336792;113.382919
233;620.312988;674.630615;113.153198
234;620.299011;674.624756;113.054085
235;620.319275;674.594116;113.055138
236;620.293335;674.57019;113.047485
237;620.271484;674.564087;113.063751
238;620.199341;674.590698;113.035103
239;620.16626;674.585449;113.040222
240;620.139771;674.669434;113.040558
241;620.080994;674.590149;113.04985
242;619.998474;674.566284;113.070015
243;619.947021;674.651672;113.079399
244;619.648926;674.653503;113.02301
245;619.498718;674.691101;113.084953
246;619.319458;674.643372;113.011131
247;619.236328;674.606873;113.150528
248;619.113403;674.525879;113.208786
249;618.910645;674.583984;113.247627
250;618.719238;674.660095;113.14624
251;618.61731;674.58136;113.18486
252;618.471313;674.612061;113.216202
253;618.305359;674.590088;113.182793
254;618.117126;674.584595;113.052208
255;618.021912;674.516418;113.07267
256;617.890747;674.580383;112.9674
257;617.843323;674.565063;112.828697
258;617.785767;674.564697;112.829842
259;617.703064;674.563354;112.787933
260;617.623291;674.568237;112.848289
261;617.5448;674.47998;112.947464
262;617.540833;674.44751;112.946213
263;617.554321;674.45459;112.926178
264;617.560242;674.462097;112.917015
265;617.533264;674.446289;112.934334
266;617.507202;674.473206;112.886215
267;617.566711;674.460388;112.867386
268;617.622009;674.461243;112.847549
269;617.541504;674.542603;112.786873
270;617.547974;674.579346;112.75869
271;617.573364;674.592163;112.805069
272;617.518311;674.566162;112.830864
273;617.555847;674.577393;112.831734
274;617.554993;674.662964;112.790489
275;617.529297;674.668518;112.791267
276;617.477112;674.672852;112.845955
277;617.462585;674.668945;112.866425
278;617.479492;674.664063;112.830887
279;617.505859;674.659912;112.836823
280;617.491577;674.665161;112.820381
281;617.429016;674.688843;112.806351
282;617.416626;674.693298;112.80835
283;617.420166;674.691223;112.809868
284;617.439697;674.679932;112.744339
285;617.460205;674.680603;112.713715
286;617.452515;674.683777;112.721985
287;617.428711;674.692932;112.795868
288;617.431091;674.68573;112.786224
289;617.490967;674.768677;112.700722
290;617.505798;674.715027;112.643921
291;617.566162;674.69458;112.652061
292;617.549377;674.69928;112.6362
293;617.543823;674.676392;112.640221
294;617.565552;674.691895;112.660393
295;617.628418;674.672668;112.663475
296;617.586609;674.686157;112.624374
297;617.627441;674.678345;112.659485
298;617.710938;674.755493;112.682892
299;617.753113;674.711426;112.621132
300;617.744019;674.658569;112.543671
301;617.736938;674.660095;112.566277
302;617.836548;674.651306;112.397156
303;617.80603;674.656738;112.475914
304;617.895813;674.647461;112.306221
305;617.969238;674.641846;112.197433
306;617.978577;674.643616;112.187088
307;617.976685;674.652832;112.258667
