Frame;1_X;1_Y;1_Z
1;879.310669;682.032654;119.582344
2;879.397949;682.012329;119.650337
3;879.413147;682.024902;119.673073
4;879.274292;682.153442;119.664642
5;879.261963;682.173523;119.768974
6;879.197571;682.2276;119.842133
7;879.111145;682.309692;119.858116
8;879.02002;682.421326;119.963463
9;878.973328;682.456299;120.09816
10;878.904724;682.638489;120.165398
11;878.795288;682.847046;120.307762
12;878.713196;683.123901;120.545776
13;878.600952;683.414368;120.83567
14;878.537903;683.765198;121.104012
15;878.159729;684.071899;121.964111
16;877.982849;684.425354;123.163445
17;877.956787;684.843994;123.989548
18;877.836365;685.471436;124.726204
19;877.980713;686.045227;125.451035
20;877.873596;686.732727;126.303207
21;877.491577;687.806824;127.226028
22;876.690247;688.781982;128.164047
23;875.726318;689.801941;129.221909
24;874.909607;691.161621;130.698608
25;874.241577;691.997498;132.486282
26;873.192261;692.928345;134.3116
27;872.169067;694.455811;136.164337
28;870.537415;696.174805;137.994522
29;868.991821;697.98761;139.501816
30;866.969849;699.956238;141.102692
31;864.665283;701.852417;143.341919
32;862.047546;703.573059;146.034897
33;859.497742;705.90332;147.602371
34;856.518188;707.95459;149.875885
35;852.769592;711.034302;151.782837
36;849.922119;713.053711;154.323318
37;845.820435;715.707214;156.027206
38;842.279663;718.700867;158.045273
39;837.601074;721.480042;159.699631
40;833.33844;724.327148;162.251633
41;828.588867;727.796692;163.001175
42;824.644043;730.413513;165.221237
43;820.486023;733.014221;167.012177
44;815.405518;735.590515;168.377441
45;809.841553;739.280273;169.647598
46;805.129761;742.478027;170.720825
47;800.108948;745.266602;172.055801
48;795.067078;747.581116;173.192856
49;789.785645;751.03833;174.127121
50;784.549438;754.230164;175.000565
51;779.726929;756.711731;175.586304
52;774.559692;759.423767;175.815933
53;768.730408;762.519592;176.713654
54;762.812866;765.75238;176.852997
55;758.381653;768.171814;176.638046
56;753.285828;770.924316;177.51889
57;747.09552;774.19873;177.164078
58;742.432922;777.065857;176.235489
59;737.34314;779.371826;175.955765
60;731.826111;782.144104;175.856903
61;726.302246;784.520691;175.929581
62;721.157166;787.244934;175.676773
63;715.747192;789.77887;175.476608
64;710.564575;792.180908;174.820908
65;705.684692;794.897461;173.497406
66;700.656982;797.432983;173.288177
67;695.695801;799.843689;172.64534
68;690.744873;802.177979;172.402145
69;685.455811;804.50293;172.099533
70;680.730225;807.32019;170.986877
71;676.177002;809.813599;170.469437
72;671.323853;812.164368;169.45488
73;666.859741;814.508057;168.550491
74;662.395813;816.862671;167.670609
75;657.693481;819.135254;166.809937
76;653.301025;821.41095;166.495758
77;649.258728;823.963684;164.933609
78;644.550171;825.850586;164.596619
79;640.596436;828.285461;163.504517
80;636.683228;830.718994;161.898224
81;632.835327;832.812134;161.35173
82;628.951904;834.858826;160.02301
83;625.293213;836.981384;159.173996
84;621.46637;838.832581;158.541595
85;618.007935;841.297424;156.956696
86;614.521545;842.874817;156.446457
87;610.819641;844.925537;155.183533
88;607.638123;846.43634;154.181198
89;604.364136;848.421448;153.483124
90;601.340576;849.794678;152.360886
91;598.381409;851.60022;150.781296
92;595.563171;853.253784;149.950119
93;592.666992;854.471252;149.301895
94;590.399719;856.3526;147.92009
95;587.57489;857.941528;147.275116
96;585.092651;859.153076;146.582382
97;582.650513;860.727539;145.43425
98;580.863464;861.864136;144.761841
99;578.42627;863.07074;143.634247
100;576.687439;864.299133;143.111465
101;574.003052;865.784058;143.305786
102;572.349609;866.680847;142.504181
103;570.798523;867.483398;141.329163
104;569.201416;868.315857;140.830078
105;567.389404;869.227295;140.487839
106;565.392944;870.548157;139.625061
107;564.242676;871.223511;138.971695
108;562.892883;871.650208;138.516495
109;561.493347;872.097778;138.062561
110;560.005676;873.199097;137.296249
111;558.738953;873.947021;136.637558
112;557.931885;874.301147;135.962418
113;556.865784;874.745239;135.136169
114;555.520752;875.289917;133.997711
115;554.811279;875.572693;133.710739
116;553.650208;875.929871;133.170532
117;552.614502;876.460205;131.968582
118;552.062622;876.796326;131.403763
119;550.833496;876.807678;130.987061
120;549.71167;877.015137;130.494217
121;549.079956;877.337036;130.191498
122;548.155701;877.671692;129.621246
123;547.226135;878.205078;128.40979
124;546.819458;878.710632;127.606644
125;546.257874;878.780762;127.542809
126;545.479004;878.975525;127.032417
127;544.826355;879.161194;126.09433
128;544.553284;879.257935;125.281265
129;544.306091;879.635193;123.849632
130;543.676392;879.37384;123.716629
131;543.154175;879.628418;123.211655
132;542.713257;879.622498;122.740532
133;542.409668;879.766968;122.395348
134;542.054993;879.956177;121.68911
135;541.719482;880.391296;120.46624
136;541.613892;880.563965;120.225456
137;541.83905;880.445679;119.756859
138;542.122498;880.517517;119.154907
139;542.147095;880.586304;118.925758
140;541.975525;880.60498;118.868629
141;541.56781;880.457947;119.148697
142;541.335938;880.370178;119.312538
143;541.177612;880.476257;119.275795
144;541.125305;880.556519;119.138252
145;541.330383;880.609741;118.827263
146;541.461609;880.632446;118.694214
147;541.644592;880.616943;118.294441
148;541.735352;880.746948;118.093544
149;541.836487;880.810913;117.879227
150;541.918335;880.871643;117.659615
151;542.018005;880.980469;117.641281
152;542.088013;881.054321;117.640259
153;542.114441;881.145691;117.567757
154;542.244507;881.366028;117.448952
155;542.202881;881.571533;117.524429
156;542.316833;881.708313;117.542114
157;542.542664;881.835754;117.479897
158;542.400085;882.068054;117.291756
159;542.449036;882.112732;117.191292
160;542.503662;882.244507;117.048103
161;542.548828;882.287842;116.990952
162;542.585083;882.342712;116.961327
163;542.575378;882.38562;116.77906
164;542.601624;882.312317;116.919289
165;542.599854;882.31781;116.904495
166;542.61615;882.193054;116.939316
167;542.6297;882.210022;116.884018
168;542.639954;882.124451;116.870743
169;542.647522;882.033203;116.829269
170;542.617554;881.99292;116.849976
171;542.71991;881.879395;116.5383
172;542.720947;881.80011;116.58194
173;542.695557;881.791809;116.247803
174;542.669006;881.869202;116.486801
175;542.620789;881.854675;116.585396
176;542.588196;881.790161;116.704765
177;542.548584;881.82135;116.616249
178;542.519104;881.896667;116.577362
179;542.461548;881.89801;116.649361
180;542.363525;881.870361;116.719017
181;542.273376;881.865723;116.835411
182;542.207764;881.778992;116.949577
183;542.195557;881.757751;116.97451
184;542.166565;881.908752;116.953064
185;542.141602;881.838196;117.012863
186;542.149719;881.863342;116.921593
187;542.166138;881.954041;116.762398
188;542.210876;882.07782;116.700325
189;542.148499;882.29541;116.032913
190;542.13501;881.849426;117.071877
191;542.046936;881.95575;117.031998
192;542.106567;882.379211;116.161781
193;542.250061;882.526062;115.826622
194;542.218079;882.520386;115.982704
195;542.217041;882.568787;115.981171
196;542.185364;882.411072;116.341171
197;542.229187;882.299622;116.518486
198;542.222717;882.309387;116.399605
199;542.211426;882.341431;116.348663
200;542.245911;882.346619;116.399895
201;542.244568;882.315979;116.438011
202;542.269531;882.434143;116.357491
203;542.34845;882.552673;115.975548
204;542.352478;882.453918;116.220833
205;542.368225;882.524719;115.981766
206;542.324829;882.428284;116.356377
207;542.298096;882.41394;116.433441
208;542.272949;882.442627;116.390793
209;542.303772;882.430359;116.381149
210;542.283813;882.431458;116.419205
211;542.311096;882.626587;116.011719
212;542.328247;882.717529;115.798195
213;542.260559;882.56842;116.314659
214;542.140076;882.476624;116.543945
215;542.103882;882.513794;116.489548
216;542.015869;882.434814;116.403107
217;542.030823;882.415466;116.474945
218;542.100647;882.648315;116.017036
219;542.236877;882.723694;115.866676
220;541.980774;882.242798;116.868156
221;541.824646;881.975281;117.306816
222;541.819946;882.434631;116.297432
223;541.970825;882.62439;115.809746
224;541.973511;882.632446;115.835037
225;541.903503;882.577698;115.911583
226;541.849609;882.544128;115.967339
227;541.856201;882.474792;116.016716
228;541.893799;882.46582;116.021919
229;541.890747;882.465637;115.999168
230;541.903137;882.449585;115.938957
231;541.953979;882.490051;115.938011
232;541.999878;882.469666;115.909126
233;542.007935;882.458618;115.814667
234;542.010559;882.012756;116.616806
235;542.098206;882.304626;116.183571
236;542.229736;882.458496;115.813744
237;542.199951;882.269104;116.1856
238;542.140808;882.175049;116.370399
239;542.159485;882.1651;116.452515
240;542.170227;882.188293;116.350189
241;542.272644;882.227844;116.259705
242;542.286133;882.231689;116.244614
243;542.300903;882.200439;116.278374
244;542.276917;882.212097;116.240791
245;542.28894;882.071045;116.237572
246;542.331909;882.078674;116.249763
247;542.337524;882.006226;115.931839
248;542.422058;882.034668;115.81115
249;542.443726;881.9505;115.775513
250;542.538391;882.189636;115.25209
251;542.569092;882.01886;115.57431
252;542.480591;881.924683;115.78624
253;542.463928;881.892578;115.878189
254;542.502563;881.92804;115.758682
255;542.541504;881.865723;115.697464
256;542.529907;881.840515;115.681297
257;542.551331;881.928772;115.667923
258;542.538513;881.967102;115.575012
259;542.483154;882.00293;115.506714
260;542.429993;881.979431;115.513115
261;542.461975;881.956726;115.535957
262;542.433716;881.93103;115.50721
263;542.414307;881.966431;115.454468
264;542.403809;882.114319;115.345688
265;542.368958;882.118713;115.283394
266;542.315735;882.094482;115.340607
267;542.279297;882.068787;115.363297
268;542.256165;882.106384;115.333038
269;542.186707;882.1297;115.272392
270;542.173828;882.136841;115.270813
271;542.12915;882.131409;115.299034
272;542.067871;882.226135;115.382416
273;541.966858;882.252014;115.353012
274;542.011475;882.207214;115.332443
275;541.832336;882.355225;115.681351
276;541.676636;882.398621;115.865921
277;541.532715;882.486206;116.016098
278;541.447693;882.687317;116.064575
279;541.277222;882.810059;116.282188
280;541.137451;882.917786;116.463692
281;541.046326;883.116821;116.700348
282;541.027283;883.487061;116.624245
283;540.944275;883.745667;116.933212
284;540.780457;883.521606;117.812027
285;540.732788;883.429504;118.612022
