Frame;1_X;1_Y;1_Z
1;764.678101;663.721802;76.910431
2;764.617554;663.651855;77.039421
3;764.684082;663.489868;77.371254
4;764.44635;663.405334;77.741302
5;763.9282023333334;663.1297603333334;78.92585733333334
6;763.4100546666666;662.8541866666667;80.11041266666666
7;762.891907;662.578613;81.294968
8;761.959717;662.253113;82.956352
9;760.721436;661.934631;84.848129
10;759.650757;661.369873;86.774597
11;758.580078;660.805115;88.701065
12;757.156006;660.070618;90.979546
13;755.082001;659.246918;93.1342545
14;753.007996;658.423218;95.288963
15;751.908447;657.522888;96.283943
16;749.448853;656.48877;98.92646
17;746.653625;655.229065;101.411491
18;743.92511;653.786804;104.030289
19;740.832031;652.485779;106.139999
20;738.207581;650.830872;107.56694
21;735.3588565;648.9360355;109.38967099999999
22;732.510132;647.041199;111.212402
23;728.469299;644.783813;113.839592
24;724.829041;642.523376;115.764221
25;721.253296;640.166321;117.294769
26;717.526428;637.366211;119.067711
27;713.266357;634.776855;120.901337
28;709.206116;632.032288;122.158157
29;705.115601;628.859741;123.749062
30;700.986511;625.919861;124.469467
31;696.826477;622.903137;125.133598
32;691.960876;619.655701;126.9739
33;686.867065;616.114563;129.030045
34;681.961365;612.77948;129.985123
35;677.209961;609.412323;130.57781999999997
36;672.458557;606.045166;131.170517
37;667.077576;602.218811;133.234711
38;661.68396;598.83728;134.063828
39;656.476501;595.330994;134.461472
40;651.174011;591.767334;135.353165
41;646.0326230000001;588.164734;135.3900225
42;640.891235;584.562134;135.42688
43;634.33783;580.740601;136.334351
44;628.9980775;577.0932925;136.776993
45;623.658325;573.445984;137.219635
46;617.902161;569.565002;137.393097
47;612.772217;566.45874;136.708481
48;607.231201;562.761597;136.893921
49;601.460846;559.4119875;137.2006835
50;595.690491;556.062378;137.507446
51;589.576416;552.682007;137.630478
52;583.9454344999999;549.3363039999999;137.8858795
53;578.314453;545.990601;138.141281
54;572.81311;542.624756;137.584869
55;567.2871090000001;539.4992065;137.8749235
56;561.761108;536.373657;138.164978
57;556.242249;533.148254;138.274582
58;550.6207890000001;530.0957436666666;138.24683633333333
59;544.999329;527.0432333333333;138.2190906666667
60;539.377869;523.990723;138.191345
61;534.3627015;521.3039555;137.204292
62;529.347534;518.617188;136.217239
63;523.728271;515.7547;136.346466
64;518.188477;513.10376;136.144226
65;513.335083;510.488647;134.618164
66;508.6326496666667;508.27254200000004;133.54505916666668
67;503.93021633333336;506.056437;132.47195433333334
68;499.22778300000004;503.840332;131.39884949999998
69;494.52534966666667;501.624227;130.32574466666665
70;489.8229163333333;499.40812200000005;129.25263983333332
71;485.120483;497.192017;128.179535
72;480.502167;495.227478;127.442146
73;476.190969;493.681783;126.63039633333332
74;471.879771;492.13608800000003;125.81864666666667
75;467.568573;490.590393;125.006897
76;463.80595400000004;489.100708;123.9805375
77;460.043335;487.611023;122.954178
78;456.275818;486.566681;121.5354
79;452.713837;485.347321;119.995888
80;449.6094056666667;484.38649533333336;118.40377833333334
81;446.50497433333334;483.4256696666667;116.81166866666666
82;443.400543;482.464844;115.219559
83;440.1387785;481.7988895;114.25455500000001
84;436.877014;481.132935;113.289551
85;434.58717349999995;480.411072;111.16561150000001
86;432.297333;479.689209;109.041672
87;429.85351549999996;479.08966050000004;107.8168795
88;427.409698;478.490112;106.592087
89;425.38808166666666;477.98332700000003;105.14814533333333
90;423.36646533333334;477.476542;103.70420366666667
91;421.344849;476.969757;102.260262
92;419.82968166666666;476.5946553333333;100.53317533333333
93;418.31451433333336;476.2195536666667;98.80608866666667
94;416.799347;475.844452;97.079002
95;415.52397925;475.7323685;95.38011525
96;414.24861150000004;475.62028499999997;93.6812285
97;412.97324375;475.5082015;91.98234175
98;411.697876;475.396118;90.283455
99;410.541595;475.329865;88.70372
