Frame;1_X;1_Y;1_Z
1;867.170044;673.330444;108.874535
2;866.900757;673.601746;109.368248
3;866.719299;673.959595;109.662758
4;866.59668;674.191162;110.001266
5;866.514832;674.329041;110.596794
6;866.412781;674.463867;111.009544
7;866.279846;674.680176;111.346893
8;866.111206;674.829834;111.693504
9;865.7052;674.958923;112.178619
10;865.070801;675.283875;112.769325
11;864.527954;675.640259;113.146568
12;864.096008;676.023193;113.635361
13;863.218445;676.588318;114.944557
14;862.429871;677.242554;115.979881
15;861.846252;677.716431;116.826759
16;860.987427;678.237671;117.866501
17;860.03833;678.66394;118.909386
18;859.013672;679.065979;120.6465
19;857.958252;679.342407;121.781212
20;856.625916;679.792603;123.000221
21;855.430481;680.140869;124.504311
22;853.927795;680.458923;126.060448
23;852.351563;680.848877;127.74868
24;850.797485;681.027588;129.182007
25;848.908447;681.16803;130.87439
26;846.72345;681.63324;132.744492
27;844.52948;681.788269;134.390823
28;842.326355;682.040649;136.0728
29;839.879456;682.363708;137.960205
30;837.227234;682.66272;139.831696
31;834.697083;682.557312;141.527222
32;831.660095;682.809082;142.747635
33;828.55542;683.274414;144.380478
34;825.663818;683.363708;146.434433
35;822.210632;683.473083;147.920776
36;818.635559;683.686218;149.458099
37;815.250488;683.829102;150.899323
38;811.62262;683.955383;151.994003
39;807.89447;684.101563;153.406067
40;804.036011;684.378174;154.464005
41;800.244873;684.722107;155.705811
42;796.168152;684.747437;156.85759
43;791.668274;684.837646;157.815353
44;788.005554;684.923157;158.838272
45;784.109497;685.228455;159.482605
46;779.554199;685.390747;160.216187
47;775.085266;685.424377;161.132431
48;770.851379;685.485168;161.918732
49;766.758484;685.674438;162.346329
50;762.458862;685.76178;162.242279
51;758.337036;685.680542;162.70723
52;754.030884;685.638672;163.155182
53;749.833435;685.567688;163.639023
54;745.58429;685.565125;163.869614
55;741.325073;685.391235;163.797867
56;737.048401;685.473877;163.614136
57;733.052429;685.591858;163.76683
58;729.30011;685.469849;163.690277
59;725.116211;685.447571;163.712631
60;721.179749;685.321106;163.57048
