Frame;1_X;1_Y;1_Z
1;309.650635;696.436157;145.810089
2;309.565796;696.472473;145.826157
3;309.557922;696.475708;145.776627
4;309.608612;696.544922;145.753448
5;309.595367;696.555969;145.722031
6;309.599396;696.56427;145.75621
7;309.410065;696.454651;146.062134
8;309.53775;696.52478;145.854141
9;309.386505;696.465088;146.043274
10;309.357391;696.460022;146.136292
11;309.389709;696.450623;146.118073
12;309.505798;696.534058;145.864166
13;309.423492;696.471008;146.032471
14;309.549042;696.529175;145.854675
15;309.384186;696.464111;146.068863
16;309.355988;696.343384;146.149597
17;309.294952;696.327942;146.182846
18;309.325958;696.34491;146.160156
19;309.490051;696.371033;145.905396
20;309.527893;696.37793;145.837967
21;309.481873;696.304016;145.899551
22;309.484009;696.269348;145.922668
23;309.470367;696.260498;145.929123
24;309.444092;696.133179;145.902878
25;309.686798;696.143372;145.428604
26;309.487915;696.123962;145.838196
27;309.365204;696.050476;146.042023
28;309.367157;696.021912;146.062317
29;309.35083;696.03125;146.035126
30;309.349365;696.035583;146.026062
31;309.391785;696.018066;145.96167
32;309.401062;696.038269;146.004776
33;309.382477;696.020203;145.992874
34;309.373169;695.956299;146.034897
35;309.469147;695.971436;145.964035
36;309.487061;695.974365;145.929153
37;309.4758;695.910706;145.946884
38;309.293884;695.773315;146.121964
39;309.252594;695.725464;146.179855
40;309.260864;695.598022;146.180405
41;309.254852;695.464783;146.322906
42;309.137573;695.198242;146.524765
43;309.087524;695.010498;146.8078
44;308.993469;694.800842;147.069595
45;308.97467;694.490601;147.325729
46;309.062531;694.275452;147.678787
47;309.053497;694.000793;148.022415
48;309.054474;693.692993;148.45929
49;309.100555;693.427124;148.86322
50;308.926575;693.038513;149.395096
51;308.807617;692.380615;150.001541
52;308.724457;691.5979;150.919403
53;308.554962;691.028259;151.609924
54;308.162598;690.285706;152.411606
55;307.735352;689.600403;153.404953
56;307.429993;688.952576;154.115051
57;307.216888;688.076477;154.723251
58;307.151215;687.169495;155.519958
59;307.303406;686.237854;156.608612
60;307.009308;684.932129;158.159592
61;306.698212;684.141846;159.587524
62;306.362244;683.024231;160.499084
63;306.016144;681.622253;161.44191
64;305.721222;680.319946;162.97084
65;305.595154;678.870422;164.476379
66;305.505798;677.170654;165.601883
67;305.17218;675.498108;167.009476
68;304.650055;673.956238;168.298035
69;304.567505;671.911133;169.983459
70;304.680695;670.105835;171.538589
71;304.491333;667.734436;173.133255
72;304.096252;665.686829;174.327255
73;303.655914;663.390564;175.615814
74;303.618896;660.901123;176.956284
75;303.377289;658.12384;178.523972
76;303.006134;655.569946;179.849716
77;302.89859;652.740234;180.738571
78;302.975433;649.797302;182.040985
79;302.794434;646.821899;183.517212
80;302.397644;643.765869;184.980743
81;302.019806;640.547363;185.909897
82;302.453583;637.212769;186.940155
83;302.670624;633.773071;187.985413
84;302.047882;630.154053;189.533768
85;301.746185;626.695251;190.348328
86;302.055511;623.051331;191.312805
87;302.261841;619.364197;192.238846
88;302.094452;615.801636;192.822876
89;302.491852;612.04071;193.533234
90;302.831207;608.382629;194.552734
