Frame;1_X;1_Y;1_Z
1;882.238892;400.735229;31.398167
2;882.195862;400.378357;31.490913
3;882.06604;400.021851;31.557121
4;881.955688;399.647522;31.547478
5;882.097412;398.995331;31.078789
6;882.152832;398.170319;30.821854
7;882.18512;397.075562;31.176472
8;882.089233;396.051971;31.199335
9;881.911499;395.421021;30.95816
10;881.793518;394.622467;30.998453
11;881.559753;393.522125;31.173042
12;881.557434;392.204346;31.410378
13;881.545166;391.225677;31.437359
14;881.195984;389.833252;31.437353
15;881.428528;388.119324;31.292572
16;881.561768;386.767151;30.776213
17;881.580811;384.936005;31.18152
18;881.597473;383.407654;31.503334
19;881.665222;381.579681;31.604681
20;881.714539;379.793182;31.490887
21;881.520691;377.956238;31.023548
22;881.154907;376.061127;30.785065
23;881.271118;374.196655;30.881577
24;881.519226;371.785675;31.043848
25;881.535828;369.797211;31.185841
26;881.375;367.788116;31.08172
27;881.225037;365.665161;30.905325
28;881.231323;363.68457;30.622776
29;881.433472;361.238647;30.747303
30;881.492737;359.084167;31.036272
31;881.272217;356.631561;31.226009
32;881.286926;354.271606;31.101837
33;881.08728;352.017242;30.623976
34;881.099548;349.769684;30.51429
35;880.900574;347.516663;31.000048
36;880.860352;344.540527;31.23473
37;880.950562;341.978516;30.952595
38;880.652405;339.764099;30.43924
39;880.603516;337.059357;30.821842
40;880.724121;334.582458;30.817225
41;880.81958;331.777039;30.924786
42;880.58667;329.256378;30.91511
43;880.563354;326.832306;30.560194
44;880.763733;323.984802;30.744867
45;880.557373;321.279846;30.560946
46;880.519348;318.784637;30.999191
47;880.506104;316.143188;30.96887
48;880.268616;313.59613;30.576796
49;880.330872;311.166168;30.445309
50;880.562134;308.230316;30.365353
51;880.426208;305.565979;30.650297
52;880.136841;303.345947;30.246401
53;880.079834;300.680634;30.309843
54;880.571716;298.328064;30.161228
55;880.414917;295.759369;30.215137
56;880.057617;293.072937;30.161661
57;880.122742;290.768707;30.099636
58;880.13324;288.084503;29.978252
59;880.204346;285.741058;29.898066
60;880.339722;283.286194;30.189693
61;880.238342;280.835266;30.251072
62;880.03595;278.68103;29.913652
63;879.964417;276.236938;29.681515
64;880.082886;273.953064;29.785313
65;880.190796;271.515228;30.256872
66;879.990417;269.162415;30.275919
67;879.961975;267.125275;29.873985
68;879.79126;264.618988;29.843878
69;879.780151;262.621033;30.039663
70;879.774109;260.174805;29.995941
71;879.865784;258.003357;30.047314
72;879.944275;255.493866;30.050894
73;879.633911;253.535065;30.190699
74;879.430725;251.488327;29.814701
75;879.400269;249.39624;29.613306
76;879.335999;247.301086;29.710121
77;879.350647;245.055222;30.044804
78;879.267578;243.055649;30.154984
79;878.969177;241.047287;29.800087
80;878.941467;239.367233;29.425066
81;879.033752;237.23558;29.370056
82;878.895813;235.175751;29.701048
83;878.708984;233.366287;29.510382
84;878.75946;231.301666;29.723709
85;878.799377;229.612488;29.710785
86;878.700989;227.540482;29.279234
87;878.682373;225.97403;29.074059
88;878.601501;224.019882;29.13644
89;878.802795;222.396179;29.375418
90;878.874512;220.547302;29.45252
91;878.998108;218.621872;29.396233
92;879.151062;216.797134;29.693453
93;879.33905;214.853333;29.718651
94;879.391907;213.616623;29.351387
95;879.468262;212.204422;29.26309
96;879.563477;210.818832;29.317217
97;879.536377;209.468964;29.265808
98;879.632813;207.704239;29.346586
99;879.92218;206.308945;29.452669
100;879.90625;205.082047;29.236082
101;880.085449;203.623535;29.290394
102;880.157349;202.409729;29.728588
103;880.163513;201.585541;29.751963
104;879.965271;200.147156;29.643557
105;880.098938;198.981705;29.60887
106;880.077515;198.265244;29.539345
107;880.324097;197.516327;29.013113
108;880.303345;196.496323;28.870287
109;880.144226;195.432266;28.951208
110;880.062561;194.574448;28.850027
111;880.067383;194.159363;28.890785
112;880.034546;193.580963;29.055386
113;880.086304;192.842346;29.379129
114;879.966125;191.927292;29.364286
115;879.995972;191.224609;29.218702
116;879.991821;190.565125;29.227858
117;880.037231;190.131424;29.033243
118;880.142822;189.494507;29.349619
119;880.119568;188.823029;29.377888
120;880.148865;188.154663;29.300751
121;880.013306;187.7052;29.184481
122;879.811218;186.9897;29.333197
