Frame;1_X;1_Y;1_Z
0;878.909424;400.381134;34.012363
1;878.971069;400.366516;33.990734
2;878.984619;400.430267;34.003006
3;878.971558;400.380524;33.974995
4;878.979065;400.438354;33.959484
5;879.007874;400.455444;33.95063
6;879.010071;400.443817;33.973343
7;879.009155;400.449005;33.956501
8;879.057007;400.44165;33.995255
9;879.064941;400.439636;34.004192
10;879.061951;400.440002;34.002609
11;879.083679;400.449158;33.990288
12;878.982666;400.518799;33.98505
13;879.002686;400.522949;34.039341
14;879.019531;400.414673;33.991325
15;879.01355;400.420807;34.035465
16;879.038513;400.355438;34.046402
17;879.059448;400.425171;34.008556
18;879.06427;400.445709;33.996792
19;879.038269;400.441467;34.025112
20;879.003418;400.438446;34.044109
21;879.02356;400.438721;34.039204
22;878.997681;400.462952;34.09679
23;878.982544;400.446075;34.109993
24;879.030579;400.360748;34.148815
25;879.073303;400.236603;34.158516
26;879.13855;400.05069;34.163372
27;879.17804;399.824524;34.080414
28;879.143494;399.469543;34.113674
29;879.031311;399.052521;34.084492
30;879.128235;398.186523;34.101624
31;879.236816;397.085785;34.202812
32;879.019226;395.879517;34.27227
33;878.44635;393.914734;34.445618
34;878.79071;392.232605;34.397278
35;878.936768;390.294037;34.480579
36;879.14856;387.998596;34.413071
37;879.256592;385.436676;34.369286
38;878.817566;382.785187;34.230244
39;878.911743;379.619507;33.986908
40;879.326233;376.169647;33.752876
41;879.36853;372.762085;33.614548
42;878.710266;369.300354;33.698513
43;878.705566;365.745789;33.509735
44;878.790039;362.06485;33.672173
45;878.512024;358.107849;33.946499
46;878.160706;353.951691;33.65667
47;878.60614;349.973755;33.694851
48;878.637939;345.59317;33.334171
49;878.300171;341.297394;33.573746
50;878.749512;336.823608;33.478771
51;878.819458;332.578369;33.687675
52;878.529968;328.258972;33.564777
53;878.926392;323.822845;33.559776
54;878.653931;319.255371;33.730637
55;878.617798;314.671448;33.306927
56;878.890076;310.09491;33.279076
57;878.817261;305.187592;33.178097
58;878.555481;300.571472;33.169437
59;878.951233;296.100006;33.207859
60;878.821655;291.586487;32.795685
61;878.909546;287.15033;33.074234
62;878.837891;282.461304;32.749889
63;878.748291;277.949188;32.715546
64;878.793884;273.19693;32.575924
65;878.970459;268.749084;32.883045
66;878.322998;264.320038;32.461845
67;878.651245;260.10141;32.653259
68;878.27832;256.014923;32.750004
69;877.97522;251.733307;32.130547
70;877.746948;247.822388;32.649937
71;877.324951;243.6772;32.30302
72;876.786865;240.024597;32.314667
73;876.521667;236.346603;32.58334
74;875.99292;232.612;32.54892
75;875.632019;229.183533;32.210857
76;875.239685;225.993866;32.251804
77;874.856506;222.81131;32.159233
78;874.487671;219.332474;31.658003
79;873.867432;215.995071;32.477077
80;873.193909;212.433273;32.060696
81;873.015808;209.595978;31.920858
82;872.645447;206.956955;32.022385
83;871.946899;203.701569;32.069065
84;871.377869;200.942413;31.887983
85;871.345215;198.581268;32.052589
86;870.955078;195.879852;31.833109
87;870.114014;193.386795;31.483902
88;869.833008;191.160248;31.274698
89;869.570313;188.874527;31.346968
90;869.308655;186.893738;31.739004
91;868.628906;184.829468;31.700644
92;868.09436;183.557236;31.209335
93;867.720276;182.166031;30.950476
94;867.403992;180.691742;30.927925
95;866.984131;179.832886;30.795101
96;866.70343;179.124756;30.980223
97;866.175903;178.323059;31.172768
98;865.707703;177.642899;31.301666
99;865.356873;177.177078;31.241274
100;865.154419;176.942566;31.118906
101;865.01239;176.750336;31.215912
102;864.797363;176.734146;31.22756
103;864.599976;176.689789;31.258356
104;864.564575;176.746048;31.214478
105;864.296387;176.742508;31.182539
106;864.167603;176.831787;31.211203
107;864.05896;176.891678;31.25979
108;863.97345;176.936768;31.409174
109;863.877869;177.037827;31.441837
110;863.703796;177.350006;31.526123
111;863.564636;177.664124;31.572216
112;863.401184;178.15976;31.375534
113;863.170105;178.855576;31.26474
114;862.870422;179.859695;31.072485
115;862.614868;180.899963;30.740906
116;862.254639;181.680634;30.62138
117;861.875122;183.131332;30.618286
118;861.368713;184.889664;30.781025
119;860.824341;186.3414;31.275375
120;860.255798;188.626923;31.221531
121;859.203552;190.540894;31.003052
122;858.323242;193.091629;30.636206
123;857.223206;195.672241;30.790541
124;856.337646;198.577591;31.268814
125;855.130676;201.59549;30.955574
126;853.60791;204.531189;30.819918
127;852.425903;207.810287;31.098494
128;851.052795;211.437012;30.998001
129;849.309143;215.049454;30.80398
130;848.087708;218.316711;30.682095
131;846.566895;221.862427;30.916121
132;844.509644;225.416077;31.075779
133;843.059143;229.329086;30.898174
134;841.149597;233.538864;31.115952
135;839.234192;237.444992;31.175056
136;837.663452;241.091064;30.689867
137;835.821777;245.312103;31.249449
138;833.804749;249.292145;31.003019
139;831.84552;253.30925;30.873003
140;830.224426;257.76712;31.218016
141;827.97644;261.985565;30.833912
142;826.071228;266.208038;30.983572
143;824.243835;270.705536;31.195923
144;822.093445;274.90036;31.03796
145;820.150879;279.318726;31.17182
146;818.290588;283.415833;31.150278
147;816.516174;287.440033;31.089031
148;814.679626;291.270294;31.241615
149;812.58429;295.377838;31.297764
150;810.688354;299.17807;31.122585
151;808.937012;302.792877;31.022289
152;806.920227;306.50058;31.168736
153;805.031677;309.704529;31.247181
154;802.837585;313.031525;30.760387
155;801.016846;316.445313;30.976665
156;799.463135;319.932312;31.24032
157;797.641724;322.937531;30.987921
158;796.191284;325.959137;30.69059
159;794.233765;329.310883;30.800447
160;792.394592;332.413757;30.904013
161;790.504272;335.393402;30.902039
162;788.759705;338.500305;31.108923
163;787.116516;341.519684;31.129478
164;785.173035;344.279144;30.990641
165;783.496338;347.176605;31.422382
166;781.703308;350.13562;31.27228
167;780.2323;352.688385;31.125587
168;778.68811;355.332428;30.702307
169;777.132874;357.988556;30.889664
170;775.728271;360.428131;31.262791
171;773.860229;362.99411;31.164228
172;772.529175;365.18512;30.871439
173;771.138245;367.71936;30.778877
174;769.47229;369.754547;31.099222
175;767.619446;371.961884;30.764277
176;765.96228;373.817535;30.821543
177;764.997925;376.038971;31.001263
178;763.768494;377.988556;31.095592
179;762.582581;379.952179;30.852081
180;760.963623;381.869812;30.795507
181;759.610046;383.717377;30.683828
182;758.412476;385.838074;30.936525
183;757.336792;387.658203;30.919844
184;755.871643;389.651398;30.567022
185;754.723511;391.286652;30.723339
186;753.462646;393.264465;30.870911
187;752.291565;394.994415;30.890045
188;751.505188;396.764282;30.785442
189;750.536011;398.600922;30.46417
190;749.450378;400.067627;30.265053
191;748.283508;402.511047;31.005949
192;747.480835;403.36795;30.85791
193;746.675659;405.243073;31.072908
194;746.347473;406.117615;30.979929
195;745.491211;407.057648;30.927692
196;744.632996;408.120972;30.986614
197;743.486633;409.45105;31.226982
198;742.512451;410.656036;31.265989
199;741.990845;410.896179;30.841951
200;741.396057;411.316772;30.650265
201;741.093628;411.802673;30.522219
202;740.48175;412.15567;30.930984
203;739.526001;412.695068;30.75786
204;738.834167;413.183594;30.652113
205;737.850525;413.975067;31.044029
206;737.213745;414.50174;31.098772
207;737.091003;414.666412;31.104923
208;737.243896;414.344391;30.505812
209;737.061218;414.376587;30.109015
210;736.653381;414.491364;30.239391
211;736.161682;414.470428;30.37825
212;735.953918;414.466797;30.359545
213;735.781982;414.29953;30.374292
214;735.684875;414.142426;30.379501
215;735.619995;414.023163;30.350176
216;735.550049;413.715057;30.433096
217;735.483154;413.240448;30.568691
218;735.331299;412.632965;30.631266
219;735.190918;411.988647;30.226868
220;735.307922;411.040192;30.403635
221;735.121704;409.767059;30.482346
222;735.108948;408.570099;30.271219
223;735.124817;407.380615;30.112322
224;735.055054;405.865631;30.171021
225;735.214783;404.497131;30.229065
226;735.202393;402.745422;30.346628
227;735.257813;400.996674;30.774225
228;734.839661;399.114929;30.030363
229;735.113953;397.014282;30.203405
230;735.177979;394.519989;29.783161
231;735.38916;392.515625;30.103354
232;735.076172;389.888153;29.873852
233;734.916626;387.237;30.008011
234;735.076294;384.455139;30.267466
235;735.090271;381.471466;30.084066
236;734.718384;378.305206;29.998222
237;734.843628;375.061249;29.818068
238;734.72052;371.535065;29.732855
239;734.689697;368.109741;29.882532
240;734.506531;364.480865;29.891727
241;733.994141;360.637787;29.648268
242;734.50293;356.858032;29.950993
243;734.352966;352.689667;29.526707
244;733.914307;348.788696;29.689903
245;734.125427;344.455475;29.60759
246;733.945435;340.443085;29.655622
247;733.675171;336.208954;29.930145
248;733.823364;331.956604;29.772951
249;733.901123;327.86615;29.758619
250;733.46814;323.753601;29.470196
251;733.475403;319.570679;29.397198
252;733.556824;315.194061;29.430853
253;733.270996;311.076508;29.40173
254;733.136047;306.786041;29.056887
255;733.170471;302.596527;29.356188
256;732.824768;298.346619;29.117981
257;732.455872;294.417999;29.34156
258;732.711914;290.031097;29.159151
259;732.412598;286.042053;29.241774
260;732.109619;282.031982;28.92696
261;732.3703;278.133026;28.980124
262;731.865356;274.288239;29.121721
263;731.569153;270.55899;28.994682
264;731.443054;266.840118;28.93848
265;731.112061;263.19104;28.953749
266;730.809387;259.724823;28.614544
267;730.615601;256.153381;28.580091
268;730.294922;252.904907;28.848175
269;729.821167;249.506165;28.47006
270;729.771301;246.093384;28.167088
271;729.960815;242.809769;28.914478
272;729.741638;239.472687;28.650291
273;729.438049;236.636688;28.09585
274;729.268494;233.903946;28.136509
275;729.264343;230.691498;28.472788
276;728.968262;227.589005;28.372526
277;728.4823;225.219757;28.130077
278;728.146667;222.478439;28.013285
279;728.407959;219.574966;27.85891
280;728.403198;217.074615;28.308893
281;727.931335;214.567856;28.274137
282;727.539795;212.152985;28.045191
283;727.697754;210.089157;27.886864
284;727.876709;207.713531;27.786739
285;727.857605;205.66507;27.638372
286;727.76355;203.419571;28.220776
287;727.645508;201.438324;28.427053
288;727.620483;199.50972;28.040714
289;727.793396;197.868759;27.475731
290;727.680237;195.946442;27.376699
291;727.937988;194.455261;27.754652
292;728.03241;192.845963;27.940676
293;728.084778;191.250351;27.822638
294;728.31958;189.818985;27.858618
295;728.127197;188.107483;27.783592
296;728.141113;186.928497;27.840723
297;728.189514;186.120834;27.861225
298;728.103394;185.136292;27.804054
299;727.968689;184.148956;27.768688
300;727.914368;183.460571;27.706688
301;727.897522;182.964798;27.657188
302;727.768677;182.523712;27.62886
303;727.629211;182.149872;27.516071
304;727.508911;181.824463;27.512472
305;727.345947;181.688278;27.477139
306;727.224915;181.597855;27.530523
307;727.082764;181.617905;27.549946
308;726.60321;181.830795;27.811666
309;726.691101;181.713821;27.723814
310;726.659241;181.898788;27.553558
311;726.607422;182.016998;27.409147
312;726.297729;182.26474;27.682035
313;725.936035;182.647751;27.749777
314;725.69751;183.196869;27.785477
315;725.337646;183.815765;27.88393
316;725.096069;184.598404;27.959877
317;724.817993;185.760254;27.959719
318;724.522949;187.021255;27.802683
319;723.789856;188.168503;27.464149
320;723.159485;189.328552;27.347115
321;722.602966;190.935822;27.443151
322;721.795044;192.641556;27.504059
323;721.242798;194.670853;27.739552
324;720.540894;196.651443;28.030394
325;719.31897;199.031281;27.388918
326;718.272705;201.338501;27.381079
327;717.313538;204.155838;27.660854
328;716.515564;206.82074;28.018047
329;715.429382;209.52597;27.869589
330;713.897339;212.622498;27.568054
331;712.706726;215.498459;27.782907
332;711.44458;218.482162;27.899471
333;709.911804;221.872101;27.756887
334;708.5495;225.198654;27.367451
335;707.032776;228.438705;27.574991
336;704.970886;231.94278;28.014265
337;703.51062;235.379135;27.799074
338;702.041687;239.101395;27.679466
339;700.052612;243.132324;27.519062
340;698.144958;246.828964;27.431332
341;696.402466;250.556793;27.461458
342;694.493225;254.526672;27.670248
343;692.657471;258.158752;27.458506
344;690.874634;262.074097;27.398781
345;689.119751;265.951874;27.684948
346;687.284729;269.836945;27.552734
347;685.585388;273.914978;27.309587
348;683.496826;277.769287;27.633472
349;681.58429;281.549316;28.044882
350;679.49823;285.289246;27.506346
351;677.827087;289.026733;27.682558
352;675.694458;292.600525;27.8566
353;673.433838;296.006317;27.610703
354;671.393311;299.262848;27.246265
355;669.776062;302.863251;27.571774
356;667.810486;306.305908;27.574375
357;666.110107;309.581024;27.414097
358;664.282288;312.896698;27.658018
359;662.420654;316.396179;27.763107
360;660.717957;319.684601;27.578873
361;658.752808;323.116943;27.433758
362;656.914429;326.586853;27.638485
363;655.03186;329.82251;27.913584
364;653.337524;333.064514;27.445566
365;651.483887;336.305084;27.29208
366;650.033447;339.56134;27.420893
367;648.567078;342.664978;27.449556
368;646.990234;345.707123;27.257296
369;645.408752;348.628479;27.413677
370;643.727661;351.614136;27.769646
371;641.88562;354.413513;27.715057
372;640.419556;357.05191;27.50712
373;638.938477;359.449829;27.46698
374;637.12146;361.896301;27.293137
375;635.411133;364.458282;27.620199
376;634.125549;366.726318;27.757957
377;632.674744;369.098236;27.880074
378;631.149048;371.229553;27.604387
379;629.874878;373.528473;27.511919
380;628.512024;375.553345;27.20159
381;627.007935;377.650696;27.088236
382;625.417053;379.822998;27.41548
383;623.585327;382.05545;27.736834
384;622.640625;383.85257;27.753727
385;621.4599;385.899567;27.73016
386;620.400818;387.562164;27.406359
387;618.852966;389.623505;27.152105
388;617.889648;391.484558;27.142702
389;616.716553;393.419403;27.408192
390;615.599365;395.231201;27.732956
391;614.575867;396.930481;27.681238
392;613.299377;398.7547;27.343004
393;612.298767;400.466492;27.265966
394;611.264282;402.215088;27.319313
395;610.460815;403.860626;27.26173
396;609.56897;405.512329;27.207941
397;608.887634;407.045105;27.199398
398;607.231506;408.996277;27.83515
399;606.986938;410.020813;27.63744
400;606.397949;411.115601;27.501858
401;605.541931;412.74118;27.634674
402;604.910522;413.422028;27.519278
403;604.245667;414.424011;27.34404
404;603.432983;415.354614;27.427664
405;602.517395;416.283569;27.60243
406;602.018066;416.868744;27.369553
407;601.35614;417.917511;27.557581
408;600.910339;418.197083;27.341238
409;600.266846;418.534698;27.177067
410;599.633545;418.934296;27.235178
411;599.272705;419.280823;27.06152
412;599.053101;419.441589;27.351437
413;598.625122;419.765656;27.067677
414;598.307129;419.966644;27.007833
415;598.132446;420.086365;27.016531
416;597.837219;420.219757;27.359835
417;597.59845;420.172791;27.53129
418;597.635559;419.968384;27.208836
419;597.719482;419.731293;27.054159
420;597.704346;419.595276;27.03722
421;597.71106;419.282928;27.049881
422;597.650757;418.621521;27.039177
423;597.296021;417.566589;27.305471
424;597.200745;416.569336;27.33419
425;596.871155;415.421234;27.437801
426;596.648315;413.77533;27.29047
427;596.28418;412.16507;26.996218
428;596.34314;410.487701;26.886246
429;596.64447;408.678986;27.137911
430;596.704773;406.870941;27.311649
431;596.603455;404.894165;27.284399
432;596.195801;402.54303;26.901997
433;596.145691;400.425598;26.866289
434;596.196411;397.944641;26.86488
435;596.381042;395.160767;26.871941
436;596.305298;392.583099;26.792707
437;596.176208;389.798004;26.841082
438;595.961121;386.795166;26.886995
439;595.798767;383.676422;26.476173
440;595.943176;380.476898;26.792912
441;596.121277;377.02774;26.531445
442;595.908813;373.562042;26.395988
443;595.759521;369.872437;26.498714
444;596.065125;366.003021;26.283976
445;595.750366;362.285828;26.454487
446;595.365417;358.277496;26.260614
447;595.510376;354.310852;26.445452
448;595.359192;350.112946;26.180983
449;595.105896;346.093292;26.119366
450;595.185913;341.712067;25.954662
451;595.244141;337.431183;25.993755
452;594.897034;333.355255;25.852539
453;595.017334;328.916534;25.995028
454;594.882568;324.50708;25.913179
455;594.544495;320.197021;26.038378
456;594.455994;315.749847;25.628254
457;595.155151;311.362213;25.918257
458;594.960571;306.802002;25.708738
459;594.444031;302.456573;25.867435
460;594.836609;297.822815;25.761951
461;594.551636;293.507874;25.911572
462;594.74176;289.033508;25.290823
463;594.832703;284.645325;25.545513
464;595.139038;280.315765;25.364687
465;595.092773;275.892303;25.643944
466;595.345947;271.349182;25.511072
467;595.458252;267.187744;25.387949
468;595.817749;262.888397;25.497004
469;595.534424;258.862457;25.483316
470;595.678101;254.718094;25.122408
471;596.043701;250.730545;25.381006
472;596.234253;246.571487;25.250307
473;596.003845;242.920822;24.999838
474;596.004272;239.250885;25.139362
475;596.521057;235.364761;25.043522
476;596.414612;231.983826;25.350624
477;596.494507;228.569;25.04528
478;596.212891;225.317719;24.545164
479;596.331604;222.272369;24.675987
480;596.517822;219.303589;25.061371
481;596.314941;216.341522;24.94433
482;595.997375;213.662018;24.657473
483;595.871704;211.138718;24.447306
484;595.633911;208.57753;24.402552
485;595.731567;206.129532;24.806753
486;595.337341;203.954346;24.738901
487;594.837891;201.86438;24.738485
488;594.572205;200.115891;24.731819
489;594.455688;198.115326;24.448458
490;594.489502;196.412918;24.173536
491;594.433289;194.619873;24.294224
492;594.027527;193.219101;24.612049
493;593.558777;191.79657;24.71435
494;593.254761;190.550797;24.713663
495;592.939392;189.659897;24.304367
496;592.661072;188.661652;23.978245
497;592.523926;187.657791;23.821377
498;592.424255;186.777817;23.844652
499;592.194397;186.216446;23.981937
500;592.007324;185.780914;24.150801
501;591.857788;185.463516;24.217852
502;591.649414;185.082428;24.278938
503;591.418762;184.766388;24.3566
504;591.362671;184.471817;24.211115
505;591.256226;184.265442;24.132519
506;591.179138;184.059662;24.115053
507;591.006409;183.956879;24.104839
508;590.855774;183.879593;24.088362
509;590.76593;183.780075;24.148565
510;590.584595;183.710327;24.075672
511;590.520752;183.834915;24.150364
512;590.443848;183.889481;24.05792
513;590.34552;183.830307;24.231731
514;590.354431;183.84938;24.213642
515;590.379211;183.957764;24.212887
516;590.462219;183.931412;24.161764
517;590.494324;183.972794;24.083246
518;590.53479;183.968399;24.051813
519;590.527466;183.945328;23.93737
520;590.566711;183.938507;23.934641
521;590.556274;183.957199;23.990404
522;590.508728;183.967133;24.19561
523;590.616089;184.041397;24.078388
524;590.716248;184.155945;24.030903
525;590.78772;184.144974;24.022602
526;590.821716;184.246246;24.062553
527;590.875549;184.260696;24.106186
528;590.889893;184.344315;24.060951
529;590.978516;184.336929;24.040304
530;590.997925;184.434082;24.004389
531;591.080444;184.439804;24.061329
532;591.128723;184.521652;24.049377
533;591.185486;184.621445;23.976542
534;591.242676;184.614029;23.931643
535;591.311523;184.69548;23.987982
536;591.325317;184.726517;24.064554
537;591.391235;184.797867;23.974504
538;591.471558;184.908356;23.972555
539;591.51062;184.92247;24.052433
540;591.579041;184.919266;24.080925
541;591.615417;185.001678;24.042131
542;591.621155;185.018143;24.025061
543;591.620483;185.097198;23.942549
544;591.688293;185.121445;24.01687
545;591.691895;185.122742;24.029438
546;591.717651;185.113037;23.992458
547;591.680115;185.172638;24.114445
548;591.782532;185.183517;23.950443
549;591.812378;185.255783;24.048306
550;591.803223;185.259384;24.142214
551;591.825439;185.24971;24.121922
552;591.838745;185.248093;24.098295
553;591.853699;185.252762;24.08461
554;591.855774;185.253784;24.083078
555;591.895935;185.242325;24.121445
556;591.84552;185.246674;24.102627
557;591.856079;185.351685;24.096371
558;591.916504;185.340744;24.035269
559;591.911316;185.243515;24.042168
560;591.898682;185.230347;24.077822
561;591.893982;185.232315;24.069288
562;591.915283;185.22731;24.07902
563;591.919128;185.225845;24.08098
564;591.93158;185.235031;24.045424
565;591.905945;185.235275;24.049932
566;591.896484;185.234375;24.060326
567;591.896362;185.234085;24.062506
568;591.911987;185.131302;24.07151
569;591.915222;185.111572;24.073378
570;591.884583;185.119232;24.048088
571;591.90332;185.140823;24.070448
572;591.875183;185.141647;24.094585
573;591.899475;185.102722;24.047989
574;591.927673;185.099579;24.016846
575;591.92334;185.118469;24.056749
576;591.953735;185.108078;24.014429
577;591.958618;185.117203;24.080101
578;591.915527;185.120453;24.081093
579;591.949341;185.106979;24.014734
580;591.968933;185.104523;23.988203
581;591.968811;185.10524;23.989935
582;591.964966;185.105515;23.995634
583;592.274475;185.117172;23.953678
584;592.115662;185.094299;24.018324
585;592.045044;185.073837;24.034552
586;592.06189;185.076172;24.01948
587;592.094788;185.076584;23.998701
588;592.101685;185.076447;23.99198
589;592.322937;185.115753;23.927645
590;592.377014;185.122345;23.886724
591;592.155701;185.085251;23.945726
592;592.091797;185.078033;23.997419
