Frame;1_X;1_Y;1_Z
1;883.172668;642.179321;147.340668
2;882.690735;641.901917;147.760483
3;882.516235;641.776672;148.177338
4;882.063721;641.69635;148.762466
5;881.428528;641.525757;149.45636
6;880.681091;641.266602;150.113403
7;879.55542;641.195557;151.392731
8;878.518494;640.8526;152.868057
9;878.1521;640.510071;153.837463
10;876.982422;640.286316;154.751663
11;875.864441;639.969971;155.624664
12;874.552551;639.54071;156.521164
13;873.371216;639.172791;158.099411
14;871.744019;639.200623;159.673111
15;870.092712;639.036194;160.667313
16;868.395935;638.695618;161.818085
17;866.920471;638.53595;162.499222
18;864.312622;638.677002;163.423355
19;862.306274;638.371643;164.785629
20;859.628113;638.32135;166.474503
21;857.234314;638.475159;167.745682
22;854.815796;638.150574;168.748337
23;851.776611;638.468201;169.667709
24;849.475647;638.352051;170.624771
25;846.307922;638.524414;171.926193
26;843.368958;638.421997;172.914352
27;839.952698;638.416199;174.235046
28;836.925049;638.607483;174.808456
29;833.741699;638.582581;175.787277
30;829.872864;638.726807;177.542572
31;827.023926;638.657104;178.085083
32;823.297241;639.002563;178.512985
33;819.921082;639.049011;179.745346
34;816.212402;639.030884;180.38858
35;812.328735;639.056213;181.535248
36;809.08905;639.193665;182.436874
37;805.030945;639.628296;182.654846
38;801.245422;639.587158;184.307373
39;797.684082;639.496643;184.41452
40;794.090027;639.793152;184.92485
41;790.0224;639.979919;185.918549
42;786.191956;639.938965;186.468506
43;782.380432;640.096008;186.726013
44;778.257751;640.776001;187.34819
45;774.79834;640.706116;187.381653
46;770.977661;640.821411;187.878296
47;767.028992;641.050293;188.315887
48;763.422668;640.886902;188.520096
49;759.480835;641.021973;188.908295
50;755.924438;641.322693;188.889999
51;752.310486;641.481628;188.519577
52;748.77887;641.866333;188.504013
53;744.871521;641.910522;188.98201
54;741.434143;641.73407;189.067734
55;737.721802;642.128662;189.10379
56;734.265137;642.251282;188.613037
57;731.014954;642.244995;188.159882
58;727.756897;642.762756;187.558334
59;724.439148;642.58252;188.141449
60;720.949646;642.641724;188.330109
61;718.030457;642.788391;187.549118
62;714.786377;643.027649;187.176514
63;711.977783;643.160095;187.108978
64;708.895935;643.222656;186.900085
65;705.982544;643.506287;186.419785
66;703.348694;643.540833;185.908997
67;700.549072;643.563782;185.61644
68;698.201965;643.739624;185.307907
69;695.329895;643.586487;185.297806
70;692.744385;643.760986;185.364822
71;690.337036;643.689209;184.391632
72;687.969788;643.780945;183.990585
73;685.55072;643.81958;183.782959
74;683.633789;643.705322;183.399567
75;681.197693;644.023987;183.164169
76;679.012817;643.968262;182.734726
77;677.25354;644.045227;181.707748
78;675.143921;643.973633;181.399338
79;673.294312;643.860291;181.236771
80;671.479065;643.835693;180.728088
81;669.600403;644.137085;180.103897
82;667.838318;644.047058;179.718506
83;666.529175;643.912964;178.97435
84;664.767761;643.960327;178.82399
85;662.8974;644.098206;178.795151
86;661.478088;644.037415;178.469635
87;660.160522;644.209595;177.51474
88;658.625122;644.350952;177.143906
89;657.133911;644.301086;176.669281
