Frame;1_X;1_Y;1_Z
1;882.769592;632.755188;122.115334
2;882.807678;632.866272;122.07151
3;882.857544;632.831421;122.186729
4;882.733521;632.832581;122.256752
5;882.696472;632.881226;122.353249
6;882.678284;632.937805;122.270973
7;882.693115;632.954224;122.225182
8;882.686829;632.987244;122.320168
9;882.719238;632.993652;122.336609
10;882.669312;633.01239;122.335236
11;882.706604;633.072449;122.358315
12;882.724243;633.085876;122.354073
13;882.724121;633.122925;122.344315
14;882.740723;633.16095;122.397034
15;882.745178;633.164917;122.41288
16;882.792664;633.205933;122.362907
17;882.834473;633.257629;122.440323
18;882.825562;633.388672;122.429207
19;882.798584;633.424377;122.412338
20;882.727173;633.383362;122.519043
21;882.676819;633.399292;122.65023
22;882.596008;633.516968;122.622093
23;882.536743;633.599426;122.700645
24;882.392639;633.647461;123.04155
25;882.161194;633.763977;123.067535
26;881.975952;633.802612;123.454987
27;881.810181;633.761841;123.774849
28;881.573425;633.878296;124.358932
29;881.215942;633.8526;125.008293
30;880.958069;633.864319;125.450203
31;880.625;633.874451;125.740913
32;880.363525;633.935547;126.055519
33;880.090088;634.02002;126.31263
34;879.866699;634.044556;126.444244
35;879.88916;634.321533;126.368576
36;879.830078;634.267212;127.192101
37;879.336731;634.282227;128.15213
38;878.846985;634.420715;128.860291
39;878.437988;634.575745;129.542664
40;878.05127;634.77002;130.281998
41;877.631409;635.040283;130.546936
42;877.124329;635.261719;130.765686
43;876.692322;635.507874;131.033157
44;876.36145;635.862427;131.157349
45;876.137085;636.30957;131.028687
46;875.82666;636.650696;131.286591
47;875.259094;637.027283;132.192245
48;874.254395;637.509705;133.382828
49;873.34668;638.028015;134.47699
50;872.519531;638.594788;135.204056
51;871.947998;638.872986;135.54895
52;871.316284;639.450745;135.554276
53;870.10968;640.337219;135.513794
54;868.927795;641.247437;135.706207
55;867.895142;642.008118;136.37706
56;866.492737;642.75769;137.666672
57;865.0401;643.559082;138.684952
58;863.774109;644.413208;139.270004
59;862.041748;645.859436;139.306305
60;860.728455;647.035767;139.047729
61;858.986572;648.101013;140.074036
62;857.153809;649.23114;141.096512
63;855.051331;650.759644;141.679504
64;853.208374;652.320984;141.4711
65;850.936462;653.998413;142.191742
66;848.747498;655.438843;142.637344
67;846.479065;657.170593;143.276566
68;843.890686;658.977173;144.006226
69;841.757751;660.25824;144.308929
70;839.34314;662.407593;144.259842
71;836.479431;664.375305;144.692169
72;833.752014;666.287964;145.820816
73;831.00238;668.073181;145.955902
74;828.370117;669.719177;146.980469
75;825.031982;671.776733;147.547409
76;822.023499;673.863403;147.929794
77;819.237488;676.030334;147.873657
78;816.291016;677.792908;148.94046
79;812.904663;679.795898;150.32782
80;809.399475;682.044434;150.655838
81;806.565552;684.126282;151.050217
82;803.017212;686.343384;151.264618
83;799.776001;688.293579;152.621323
84;796.180481;690.424622;152.9758
85;792.791382;692.624817;154.021225
86;789.29303;695.237;154.623337
87;785.515991;697.285522;155.296509
88;782.225098;699.905823;155.227264
89;778.627075;701.920837;156.490784
90;774.484802;704.635193;156.888626
91;770.667908;707.038452;157.838165
92;767.033997;709.267456;157.926758
93;763.186707;711.84906;159.044113
94;759.02301;714.33728;159.589218
95;755.35553;716.813843;159.507401
96;751.702698;719.441528;160.106232
97;747.618958;722.047974;160.404709
98;743.504639;724.530823;161.279739
99;739.525696;727.395874;161.159164
100;735.192017;729.848267;161.536682
101;731.420105;732.421387;162.61145
102;727.42395;735.08136;162.360199
103;723.388611;737.54718;163.035172
104;719.17926;740.451599;163.253738
105;715.243469;743.29895;163.083023
106;710.891418;745.499878;163.994049
107;707.047913;748.447571;163.936905
108;702.935486;750.97113;164.447784
109;699.025513;753.594543;164.749039
110;695.161621;755.997375;165.17836
111;690.966614;758.578918;165.25116
112;686.958069;761.08313;165.458954
113;683.020935;763.526123;165.384171
114;679.201111;765.952576;165.096207
115;675.648804;768.043335;165.675217
116;671.829956;770.533875;165.511703
117;668.127625;772.63269;165.864716
118;664.090637;775.288513;166.052307
119;660.158752;777.960022;166.011124
120;656.680908;780.22345;166.071259
121;653.124512;782.480652;165.679855
122;649.9776;784.36969;166.052246
123;646.35437;786.799133;165.72963
124;643.134705;788.469238;165.709656
125;639.635132;790.697449;165.570786
126;636.632446;792.539185;165.034119
127;633.266663;794.386658;165.021103
128;630.628662;796.122253;165.219727
129;627.200073;797.749084;164.989563
130;624.479614;799.502502;165.210403
131;621.321838;801.087891;165.036362
132;618.633545;802.508423;164.737061
133;615.948547;803.933716;164.418686
134;613.111877;805.823425;163.926437
135;610.534607;806.991089;163.645889
136;608.294556;808.1297;163.049698
137;605.862854;809.605957;162.742615
138;603.092285;810.734192;162.441818
139;600.953735;811.763123;161.781723
140;598.765259;812.564819;161.833176
141;596.204834;813.841919;161.245422
142;594.221069;814.971741;160.946335
143;592.167542;815.995056;160.614883
144;590.263245;816.703613;160.103516
145;588.262085;817.745361;159.590988
146;586.537842;818.596802;159.280533
147;584.609192;819.569763;158.646103
148;582.913086;820.71814;157.460922
149;581.378845;821.318298;157.004318
150;579.778992;822.014709;156.584946
151;578.219177;823.062988;155.925308
152;576.206848;823.950623;155.226288
