Frame;1_X;1_Y;1_Z;2_X;2_Y;2_Z;3_X;3_Y;3_Z;4_X;4_Y;4_Z
1;856.247253;741.676147;135.412125;1008.497864;877.698242;461.739349;845.61676;648.104919;92.949745;760.420776;667.648865;102.501068
2;856.271973;741.648621;135.373886;1008.180237;877.901428;461.791229;845.57428;648.203674;92.886658;760.479126;667.641907;102.462769
3;856.284485;741.657166;135.325287;1008.325562;877.732605;461.780609;845.605347;648.236694;92.919006;760.453735;667.648987;102.411942
4;856.255859;741.662354;135.421509;1008.345703;877.674194;461.689667;845.62677;648.194275;92.959511;760.43634;667.655823;102.468452
5;856.235901;741.74292;135.406723;1008.31134;877.720337;461.668365;845.632324;648.126526;92.994118;760.422607;667.64563;102.44532
6;856.281799;741.686584;135.4048;1008.261536;877.744507;461.677277;845.668274;648.065735;92.98037;760.470032;667.640808;102.460884
7;856.304138;741.630005;135.481323;1008.148621;877.764038;461.542175;845.606506;648.083252;92.947823;760.440735;667.650818;102.486397
8;856.307495;741.613037;135.475449;1008.097107;877.688171;461.509644;845.556458;648.041992;92.97007;760.418274;667.64978;102.503952
9;856.323181;741.640381;135.487518;1008.255066;877.676819;461.40979;845.563171;647.987366;93.047699;760.414124;667.647339;102.508171
10;856.343811;741.537231;135.539459;1008.000916;877.631958;461.343903;845.540039;648.06134;93.054543;760.415955;667.640686;102.440689
11;856.336365;741.496887;135.586349;1007.859131;877.511658;461.312347;845.520203;648.047485;93.051468;760.431641;667.644958;102.407959
12;856.396057;741.477844;135.628693;1007.73877;877.455566;461.220703;845.482483;647.979004;93.154106;760.437439;667.647644;102.404747
13;856.362122;741.397583;135.639496;1007.607971;877.372498;461.192291;845.399353;647.866211;93.271538;760.478821;667.644592;102.452179
14;856.379272;741.350769;135.749008;1007.624817;877.397034;461.043976;845.307861;647.755188;93.327744;760.43811;667.643616;102.426369
15;856.411377;741.240234;135.905624;1007.600037;877.296204;461.011902;845.295776;647.603271;93.477509;760.426331;667.65155;102.480988
16;856.408142;741.099487;136.252823;1007.539368;877.183472;461.002228;845.246887;647.523438;93.714958;760.464539;667.629822;102.496063
17;856.375427;740.928772;136.57373;1007.3349;877.194458;460.999817;845.101929;647.404724;93.843086;760.482483;667.626282;102.483231
18;856.293091;740.72937;136.894409;1007.262756;877.183899;461.232513;845.020203;647.444275;94.028801;760.51709;667.63501;102.560547
19;856.174683;740.539185;137.295273;1006.716492;877.188171;461.360016;844.970642;647.515869;94.301613;760.495483;667.520752;102.694077
20;856.033752;740.352478;137.649261;1006.768066;877.125427;461.206116;844.80011;647.520935;94.34314;760.505066;667.47229;102.622025
21;855.90564;740.224915;137.989151;1006.826172;877.113464;461.135498;844.702271;647.521423;94.506706;760.537842;667.385681;102.786057
22;855.554321;740.001221;138.496475;1006.664856;877.114014;461.188324;844.603027;647.466125;94.716454;760.486145;667.251953;102.913849
23;855.198608;739.987793;139.171799;1006.426514;877.198486;461.246429;844.545288;647.516235;95.194977;760.379578;667.119934;103.005615
24;854.860291;740.000427;139.955063;1006.163635;877.263611;461.199585;844.480652;647.50824;95.503555;760.293091;666.9104;103.09198
25;854.563965;739.932495;140.470779;1005.908691;877.290649;461.19928;844.427246;647.455444;95.84938;760.243835;666.669189;103.211021
26;854.176941;739.732056;140.892975;1005.707764;877.328857;461.169891;844.403198;647.535461;96.387009;760.229431;666.519348;103.439735
27;853.622986;739.64447;141.592682;1005.336914;877.416321;461.240417;844.240601;647.583252;96.880264;760.067932;666.407043;103.579079
28;853.296692;739.624268;142.319809;1004.881836;877.513428;461.184753;843.945007;647.549255;97.443077;760.043152;666.170715;103.878044
29;852.896667;739.72113;142.913071;1004.498474;877.522095;461.165192;843.881165;647.022461;97.879463;759.801025;666.006165;104.295219
30;852.617676;739.828979;143.632813;1003.9599;877.616028;461.110199;843.55249;647.037537;98.953522;759.586121;665.883606;104.740639
31;852.390137;739.942505;144.421188;1003.494019;877.680908;461.118408;843.368591;647.065308;99.747078;759.29425;665.809021;105.672447
32;851.894653;740.145264;145.125031;1002.764038;877.858765;461.341827;843.101807;647.406372;100.959877;758.719849;665.645569;106.731071
33;851.415588;740.39856;145.641769;1002.325928;877.982666;461.518188;842.714294;647.921631;102.833633;758.167969;665.367432;107.473938
34;850.714661;740.565979;146.760651;1001.99115;877.964966;461.317932;842.274048;647.868469;104.080673;757.101257;665.381775;109.332527
35;849.766052;740.74115;147.911606;1001.769287;878.012573;461.306763;841.749756;647.447754;105.062019;756.113647;665.166382;111.250725
36;848.832764;740.846375;149.014709;1001.475647;878.094421;461.383118;840.909546;647.125916;106.863571;755.855713;665.305603;111.645851
37;847.874329;740.811401;150.397217;1001.077087;878.209839;461.584839;840.089844;646.761292;109.172325;755.902039;665.453796;112.058701
38;847.156128;741.021118;151.442154;1000.646973;878.28009;461.729126;839.306091;646.511475;110.945068;755.189514;665.600281;113.522186
39;846.220154;741.506287;152.606171;1000.2005;878.320618;461.859222;838.104797;646.692749;112.306137;753.610291;665.702515;115.937279
40;844.91571;741.61792;154.025726;999.182678;878.427185;462.207428;836.872192;646.983704;114.312134;751.739136;665.393982;118.015266
41;843.558899;741.515076;155.201767;998.456055;878.695984;462.501831;835.608765;646.70636;116.2994;750.952637;665.434631;119.040291
42;842.21228;741.675964;156.771561;997.60376;878.822388;462.692688;834.215332;646.547119;118.270927;749.934875;665.708191;120.572418
43;840.506897;741.8255;158.471527;997.12146;878.98291;462.753906;832.640869;646.633789;120.035797;748.141052;665.648499;122.883942
44;838.688416;741.901367;159.916306;997.178894;878.89093;462.503632;830.971924;646.589417;122.12767;746.398438;665.646423;124.302551
45;837.112976;742.174377;160.803024;996.998718;878.959961;462.408722;828.938721;646.685486;123.938438;744.756531;665.77179;126.241203
46;835.270996;742.358459;162.316055;996.199585;879.108154;462.628845;827.119873;646.44812;125.356644;742.605652;665.869873;128.380692
47;833.1922;742.210815;163.92659;995.350403;879.063904;462.951599;824.981873;646.311707;128.073517;740.66156;665.657654;130.025345
48;831.121155;742.44574;165.700058;994.243042;879.188416;463.41037;822.274902;648.079102;128.586792;738.311462;665.42157;132.184128
49;828.759827;742.216858;167.721588;993.522461;879.113953;463.501465;820.324768;648.093994;130.171265;735.971741;665.638062;134.379944
50;826.797241;742.349976;168.641388;992.496887;879.314514;463.741638;817.716797;647.525696;132.147644;733.235596;665.693298;136.487457
51;824.266846;742.396362;169.918991;992.078064;879.294922;463.860016;815.180481;646.476624;134.462555;731.304504;665.734863;137.836594
52;821.647278;742.728333;171.41684;991.443481;879.197266;463.931732;812.352417;645.76593;136.974884;728.156799;665.794556;140.314087
53;818.891235;742.41748;172.937164;990.432983;878.988403;464.022308;809.129944;646.908081;137.306396;725.278625;665.972473;142.380508
54;816.337219;742.422363;174.737976;988.926147;878.866516;464.272949;806.140991;647.137756;139.24028;722.297729;665.936157;143.878235
55;812.549805;742.457214;176.386017;987.544373;878.687195;464.59314;802.551453;648.773132;139.853409;718.691345;665.840332;146.804321
56;810.106018;742.398315;177.534454;987.103271;878.512634;464.398773;799.358826;648.607056;141.370728;715.357361;666.162109;148.3423
57;807.336121;742.365295;178.499634;986.176453;878.275635;464.593079;796.117676;647.149414;143.890762;712.213074;666.451965;150.019516
58;803.868591;742.288391;179.962326;984.717773;877.997986;464.749786;792.668396;645.746826;146.288483;708.554321;666.538147;151.922531
59;800.814026;742.296997;181.404251;983.323303;877.776917;464.747803;788.551636;645.039429;148.369858;704.529907;666.781006;153.781555
60;797.291931;742.40741;182.1828;982.09668;877.56488;464.767883;784.381775;644.719971;149.821915;700.91449;667.326172;154.753586
61;793.40332;742.288269;183.87262;980.219421;877.190613;464.984222;780.720276;644.639282;150.960159;697.307068;667.815735;156.356323
62;789.732117;742.269897;184.881607;979.136597;876.849304;465.102203;776.520569;644.613953;152.013519;692.526855;667.946411;159.020325
63;786.626343;742.157166;185.957748;977.979797;876.598572;465.153412;772.163269;645.111145;153.496689;688.371826;668.40448;160.081284
64;782.069214;742.27948;186.572983;976.045532;876.09906;465.172424;767.56842;645.287354;154.37146;684.510254;668.905029;161.260208
65;778.122925;742.192139;187.765732;974.494263;875.616333;465.154022;762.892029;645.332642;155.556564;680.080627;669.580383;162.492523
66;774.139343;742.145874;188.955109;973.149658;875.230713;465.468262;758.075867;645.029724;156.71019;675.411865;670.120117;163.846451
67;770.049744;742.261292;189.716919;971.012207;874.752136;465.367981;753.260376;644.781738;157.845764;670.731506;670.585205;164.99852
68;765.965271;742.111511;190.570633;969.145752;874.411743;465.042816;748.302185;644.903259;159.422668;666.160583;671.205505;165.879929
69;761.947876;742.164978;191.304672;967.852539;873.603333;465.13031;743.437012;644.905029;160.417053;661.191101;671.842896;166.822433
70;757.501282;742.123718;191.732071;966.386414;873.203308;464.863739;738.518066;644.879761;160.955032;655.926514;672.472534;168.553116
71;752.893494;742.002136;192.004028;964.18158;872.663513;464.719147;733.410156;644.781067;161.629211;650.875732;672.922668;169.587692
72;748.455566;741.999329;192.708206;962.598816;871.835571;464.830017;728.266968;645.076477;162.568161;645.780029;673.43689;170.652527
73;743.871948;741.807617;193.62384;960.804199;871.289551;464.756592;722.940491;645.582947;163.158539;640.895447;674.091309;171.46109
74;739.312012;741.748413;194.197601;958.150452;870.71051;464.65097;717.470886;646.03717;163.631744;635.78009;674.857849;172.396515
75;734.903931;741.84198;194.234253;956.230774;870.203735;464.954468;711.987427;646.330139;164.185501;630.722473;675.767944;172.620163
76;730.482178;741.849365;194.358719;954.627197;868.982727;464.736115;706.646606;646.707153;164.326935;625.689575;676.55542;173.246948
77;726.050232;741.849243;194.592377;952.432129;868.517456;464.46286;701.342407;646.945251;164.542511;620.349304;677.167542;174.061142
78;721.250244;741.826721;194.892258;950.72937;867.316833;464.40567;695.989746;646.851501;164.785172;614.875183;677.950317;174.572876
79;716.084045;741.80719;194.81897;949.136414;866.607971;463.948975;690.401123;646.736572;165.024796;609.922607;678.771484;174.266663
80;711.490967;741.77594;194.447723;946.198975;865.889221;464.137451;684.765015;646.874207;165.155228;604.848511;679.619263;174.084518
