Frame;1_X;1_Y;1_Z
1;664.995544;697.597961;23.092356
2;670.042603;697.18811;23.457071
3;675.426147;697.066284;23.463835
4;680.952454;696.959839;23.562426
5;686.563721;696.909058;23.669086
6;692.468018;696.795776;23.58712
7;698.259766;696.751465;23.696503
8;703.816467;696.667725;23.59816
9;709.548157;696.644775;23.997995
10;715.349426;696.513794;24.457937
11;720.97406;696.541382;24.657848
12;726.673096;696.588196;24.732805
13;732.415771;696.72699;25.120848
14;738.416992;696.924072;25.168007
15;744.479736;697.32074;25.343424
16;750.348145;697.662964;25.427706
17;756.325623;697.974487;25.411234
18;762.128784;698.321411;25.450468
19;768.110229;698.531189;25.753235
20;773.97229;699.044434;25.72389
21;779.953308;699.723633;26.05958
22;785.766418;700.414185;26.041843
23;791.143738;701.079407;26.350388
24;796.364807;701.767395;26.730017
25;801.494446;702.308899;26.752806
26;806.266541;702.819214;26.965597
27;811.120667;703.578125;27.133757
28;815.30603;704.22699;27.055824
29;819.306824;704.622803;27.133692
30;823.101501;704.998047;27.048664
31;826.106384;705.244385;27.298714
32;828.993713;705.265259;27.326084
33;831.399963;705.407043;27.444685
34;833.225891;705.40271;27.332977
35;834.562134;705.506592;27.219992
36;836.048279;705.316895;27.635376
37;837.184692;705.097656;27.669668
38;837.793274;704.909851;27.416872
39;838.070496;704.757446;27.393223
40;838.271179;704.480347;27.516481
41;838.155579;704.32843;27.388996
42;838.04541;704.098389;27.234463
43;837.899353;703.936829;27.323181
44;837.719543;703.719727;27.394215
45;837.474365;703.476746;27.483339
46;837.081421;703.229736;27.584673
47;836.604797;702.894531;27.793303
48;836.04425;702.410706;27.864674
49;835.137634;701.674438;27.751513
50;832.625061;700.43866;27.67486
51;829.388611;698.425781;27.490036
52;825.91571;696.36084;27.390997
53;822.616089;694.004761;27.33235
54;819.330261;691.888977;27.081711
55;816.167847;689.71106;26.799973
56;812.708801;687.582886;26.878532
57;809.041504;685.190063;26.640083
58;804.793518;682.7995;26.523508
59;800.699768;680.109741;26.648066
60;796.216736;677.297913;26.50828
61;791.39502;674.569153;26.30106
62;786.412598;671.867981;25.900066
63;781.129578;668.794983;25.862001
64;775.839966;665.756653;25.785566
65;770.305359;662.881409;25.684113
66;764.706055;659.868469;25.421612
67;759.198425;656.629333;25.156017
68;753.405334;653.460754;25.001823
69;747.401184;650.409607;24.86166
70;741.457947;647.572449;24.749165
71;735.505737;644.280762;24.209866
72;729.301208;641.012695;24.249559
73;722.836914;637.970459;24.312149
74;716.498169;634.988403;24.075838
75;710.459534;631.842529;23.81995
76;704.417053;628.651855;23.83444
77;698.13031;625.49939;23.909742
78;691.899597;622.691895;23.746254
79;686.134644;619.634033;23.229736
80;680.625488;616.251404;22.819611
81;675.352112;613.337524;22.791666
82;669.673157;610.442627;23.190115
83;664.424866;607.276245;22.871113
84;658.929443;604.270813;22.591959
85;653.532837;601.532471;22.444687
86;648.500427;598.657593;22.53266
87;643.624207;595.838684;21.756687
88;638.352173;593.348999;21.584665
89;632.869568;590.671814;21.62434
90;627.773499;588.074768;21.535234
91;623.293091;585.567871;21.421583
92;618.707031;583.133728;21.431688
93;613.965332;581.055481;21.178932
94;609.569397;578.54718;20.945141
95;605.263855;576.441101;21.011063
96;601.412354;574.275208;20.606476
97;597.46167;572.468506;20.947992
98;593.755493;570.376831;20.314993
99;590.192688;568.858276;20.225657
100;587.095764;567.121948;20.341496
101;583.867554;565.620544;20.324284
102;581.569641;564.163208;20.485153
103;579.202637;563.039856;20.430552
104;577.298462;561.731323;20.396044
105;575.912964;560.455139;20.127596
106;574.820129;559.637817;19.958935
107;574.102112;559.155945;20.141174
108;573.681885;558.272217;19.959091
109;573.470825;557.501465;19.85627
110;573.706116;556.992126;19.697159
111;573.910095;556.810059;19.629642
112;574.153992;556.773865;19.547285
113;574.549561;556.863342;19.537422
114;574.94812;556.810486;19.551064
115;575.678528;556.624756;19.757282
116;577.219482;556.206116;20.281071
117;578.825623;555.734985;20.245552
118;581.975891;555.259399;20.113895
119;583.721985;554.997253;20.106501
120;586.513611;554.729797;20.493702
121;589.284363;554.422974;20.369795
122;591.888733;554.163086;20.487486
123;595.427551;553.763123;20.382753
124;598.451721;553.515625;20.678028
125;601.560852;553.291382;20.57032
126;605.350037;553.054565;20.795177
127;609.199158;552.656494;20.83518
128;613.042053;552.493408;21.285025
129;616.932922;552.250854;21.220976
130;621.195923;552.290527;21.046473
131;625.242676;552.121765;21.470732
132;629.841675;552.025085;21.623714
133;634.843262;552.135376;21.622482
134;639.487061;552.191956;21.687382
135;644.11145;552.015381;22.071402
136;649.374451;551.874634;22.105133
137;654.686462;551.950195;22.126675
138;660.075256;552.039978;22.192732
139;665.239014;552.188904;22.511679
140;670.683838;552.326904;22.681046
141;676.334045;552.490173;22.833094
142;682.2229;552.724976;23.029856
143;687.81366;552.969238;23.068535
144;693.610168;553.318909;22.913002
145;699.38562;553.611816;22.770231
146;705.277893;553.815674;23.277809
147;711.014343;553.9505;23.681625
148;716.544861;554.386902;24.065968
149;722.017395;554.766418;24.322264
150;727.684204;555.090576;24.175278
151;733.480225;555.256104;24.322916
152;739.145447;555.502686;24.243374
153;744.682617;556.072876;24.345213
154;750.108093;556.547119;24.260939
155;755.364075;556.950806;24.257494
156;759.759338;557.507507;25.13497
157;764.517578;557.870544;25.098867
158;769.472778;558.346802;25.11027
159;774.220886;558.787598;25.284399
160;778.512573;558.97229;25.601675
161;782.524658;559.207458;25.536373
162;786.84668;559.568054;25.211361
163;790.580322;559.879578;25.576941
164;793.937683;559.994324;25.500381
165;797.388916;560.163818;25.689636
166;800.501343;560.257568;25.747177
167;803.443054;560.498352;25.88887
168;806.091797;560.661255;25.995901
169;808.403687;560.814148;26.143387
170;810.735352;560.706055;25.753654
171;812.134399;560.806702;25.830198
172;813.665283;560.865356;26.276354
173;814.904602;560.685242;26.299927
174;815.945068;560.49292;26.273211
175;816.584595;560.380798;26.239731
176;817.042175;560.180481;25.99227
177;817.302307;559.936096;25.995039
178;817.375244;559.742615;26.148344
179;817.345215;559.50531;26.058481
180;817.191345;559.26239;26.03602
181;817.068115;559.090332;26.06439
182;816.838379;558.864014;26.066402
183;816.573059;558.647461;26.298956
184;816.128357;558.278809;26.342398
185;815.505432;557.794617;26.446642
186;814.8797;557.096741;26.420309
187;813.472046;556.00531;26.662025
188;811.531982;555.097351;26.181166
189;808.809509;554.033752;26.562672
190;806.455994;552.447815;26.327074
191;803.960632;551.089966;25.945503
192;800.958191;549.438293;25.754728
193;797.933105;547.599304;25.4821
194;794.338074;545.667603;25.663042
195;790.520874;543.698181;25.612627
196;786.900085;541.501465;25.73876
197;782.240356;538.754089;25.641623
198;777.333008;536.43042;25.649746
199;772.978821;533.847839;25.035936
200;768.149658;531.038574;24.711735
201;762.730347;528.366089;24.866753
202;757.158081;525.49469;24.724884
203;751.808838;522.446594;24.628077
204;746.360413;519.737061;24.687685
205;740.925964;516.85199;24.46073
206;735.690674;513.746033;23.944328
207;729.814941;510.904877;23.560982
208;723.911255;508.087067;23.311258
209;718.108948;505.160736;23.477476
210;712.213928;502.337067;23.471502
211;706.627563;499.473541;23.229715
212;701.144043;496.331451;23.244633
213;695.569153;493.721405;23.297302
214;690.31427;490.812805;23.19639
215;685.188538;487.819336;22.591606
216;679.978333;485.14978;22.577616
217;674.956482;482.145111;22.674538
218;670.246887;479.410431;22.042627
219;665.374634;476.776001;21.918743
220;660.53186;473.946716;21.995808
221;655.816711;471.485046;22.310286
222;651.621521;468.714386;21.780346
223;647.24762;465.966675;21.559895
224;643.288391;463.32663;21.478899
225;639.376953;460.7742;21.458292
226;635.82666;458.622192;21.555162
227;632.187927;456.208221;21.254005
228;628.64801;453.754333;21.191496
229;625.441528;451.478302;21.093964
230;622.065613;449.548279;20.857895
231;618.974915;447.202301;20.922451
232;616.18866;445.20874;20.883215
233;613.491333;443.370789;20.58963
234;611.056763;441.298553;20.623543
235;608.414856;439.814362;20.447935
236;606.28064;437.932312;20.612616
237;603.877258;436.507294;20.67498
238;601.660217;434.920197;20.615744
239;600.043701;433.414703;20.472725
240;598.02356;431.988373;20.502388
241;596.416687;430.862183;20.320694
242;595.194519;429.181732;19.692736
243;593.599548;427.952911;19.787207
244;592.103149;427.034454;19.967663
245;590.767151;425.797913;20.282249
246;589.898315;424.697235;20.168591
247;588.909119;423.64505;19.846462
248;587.871948;422.881866;19.97526
249;587.110718;422.131744;20.100914
250;586.865662;421.506073;20.266298
251;586.820374;420.806122;20.108185
252;586.894165;420.155029;20.070356
253;587.085266;419.583405;20.099192
254;587.402649;419.177368;19.934849
255;587.962158;418.780884;19.724535
256;588.909668;418.575073;19.865622
257;590.231079;418.016937;20.047764
258;591.752075;417.476105;19.905178
259;594.603088;416.789825;20.096735
260;597.870483;415.971497;19.970261
261;600.833069;415.483765;20.064474
262;604.201111;415.040649;20.2778
263;607.894348;414.779388;21.003668
264;611.867676;414.369354;20.951529
265;616.233276;413.824707;21.073765
266;620.873047;413.447968;21.072147
267;625.882935;413.237122;21.277561
268;631.153198;412.806366;21.274122
269;636.824463;412.521942;21.169815
270;642.658752;412.351318;21.294907
271;648.362976;412.202423;21.482899
272;654.317627;411.997681;21.694431
273;660.230896;411.90625;22.043478
274;666.251465;411.776367;22.454456
275;672.585876;411.730713;22.510962
276;678.932434;411.808929;22.769039
277;685.415405;411.761963;22.91917
278;691.99353;411.714752;22.909554
279;698.364929;411.785522;23.083467
280;704.670654;411.963257;23.243982
281;710.950195;411.974823;23.331381
282;717.214294;412.09613;23.477865
283;723.372131;412.449738;23.899189
284;729.560059;412.881592;24.169647
285;735.561768;413.05603;24.220779
286;741.394409;413.437317;24.290886
287;747.085815;413.854858;24.236782
288;752.607422;414.141266;24.113785
289;758.210999;414.410736;24.463329
290;763.561523;414.818542;24.551275
291;768.559814;415.232971;24.81082
292;772.869141;415.463226;25.425539
293;777.73291;415.789032;25.474607
294;782.642456;416.200928;24.86091
295;786.971069;416.551727;24.97225
296;790.898438;416.541809;25.591085
297;794.852539;416.737518;25.494852
298;798.4245;416.934326;25.714375
299;801.586121;417.148193;25.736822
300;804.604858;417.173218;25.696508
301;807.188904;417.290527;25.674698
302;809.662659;417.136871;25.874092
303;811.96698;417.057343;25.619225
304;813.858337;417.02063;25.98151
305;815.580078;416.783325;25.989323
306;816.968262;416.685822;25.997633
307;818.236633;416.523621;25.513815
308;819.27832;416.322876;25.687742
309;819.916504;416.138306;25.984743
310;820.247681;415.965454;26.232634
311;820.548706;415.817566;26.377483
312;821.001282;415.692383;26.174482
313;821.187683;415.559906;26.072445
314;821.32196;415.492645;26.0793
315;821.381653;415.37326;25.968658
316;821.379517;415.288788;25.930515
317;821.490234;415.320801;25.998508
318;821.440369;415.315765;26.051517
319;821.432129;415.247528;25.911674
320;821.424866;415.183411;25.88903
321;821.423462;415.177338;25.903399
322;821.37323;415.182312;25.966375
323;821.344177;415.192413;25.982412
324;821.267578;415.192352;25.930235
325;821.255554;415.242645;25.903725
326;821.196594;415.263062;25.974134
327;821.180847;415.261963;26.000923
328;821.131714;415.251495;25.949654
329;821.043518;415.26889;25.969551
330;820.958557;415.260803;25.952572
