Frame;1_X;1_Y;1_Z
1;857.513733;692.235291;114.064957
2;857.469604;692.285278;114.37545
3;857.423889;692.361511;114.443764
4;857.363647;692.382996;114.651794
5;857.355957;692.358032;114.79248
6;857.433594;692.219238;114.86869
7;857.44574;692.297852;115.174141
8;857.481995;692.312561;115.323235
9;857.526917;692.357056;115.633904
10;857.492371;692.418762;115.958748
11;857.444702;692.435181;116.15477
12;857.376343;692.490967;116.385414
13;857.32428;692.647034;116.779961
14;857.210205;692.744324;117.08403
15;857.138977;692.83783;117.312836
16;857.126221;692.900208;117.579216
17;857.049438;693.025513;118.10894
18;856.884033;693.231628;118.653625
19;856.791382;693.441345;119.23999
20;856.554871;693.427979;119.705795
21;856.547791;693.434143;119.718315
22;856.609375;693.508789;120.070801
23;856.666199;693.618591;120.624596
24;856.773315;693.528015;121.230064
25;856.992615;693.403198;121.79995
26;857.299011;693.378845;122.408989
27;857.485657;693.46521;123.178947
28;857.863586;693.553162;123.705582
29;858.014282;693.681946;124.14624
30;858.195984;693.791443;124.666779
31;858.514954;693.920532;125.427284
32;859.061279;693.991455;126.179924
33;859.848389;694.174011;126.791603
34;860.519531;694.210327;127.836845
35;860.593628;694.122314;128.357635
36;860.966125;694.201416;129.116425
37;861.54541;694.149292;129.697784
38;861.855408;693.778015;130.368896
39;862.337585;693.789429;131.341568
40;862.660889;693.874939;132.146744
41;863.159485;694.055542;132.373215
42;863.617676;693.955505;132.56282
43;863.983337;693.762756;132.761429
44;864.400818;693.486938;133.049469
45;864.600342;693.365601;132.903854
46;864.78833;693.138489;132.619095
47;865.053345;693.047485;132.053207
48;865.229797;692.938965;131.030624
49;865.528442;693.062256;129.534378
50;865.407654;692.877869;128.95752
51;865.326477;692.854004;128.46814
52;865.33197;692.798828;127.641739
53;865.591064;692.738159;126.230728
54;866.462708;692.985229;124.658463
55;867.728699;694.173889;122.182594
56;867.283875;694.038513;121.934097
57;867.015503;693.822571;121.716499
58;867.271423;693.931274;120.811829
59;867.682678;694.221252;119.37764
60;867.726807;694.58783;118.092102
61;867.801575;694.967407;117.291107
62;867.726807;695.248047;116.639565
63;867.629211;695.514893;115.894623
64;867.622253;695.820313;115.070755
65;867.40741;696.001465;114.378792
66;867.116638;695.935852;114.2164
67;866.895813;695.994446;114.095558
68;866.64386;696.089722;114.094696
69;866.269775;695.989136;114.137444
70;865.813843;695.951721;114.437279
71;865.303284;696.029236;114.430229
72;864.718628;696.109375;114.784714
73;863.912415;696.102356;115.374184
74;863.039124;695.90448;115.890724
75;862.322693;695.580505;116.956024
76;861.536499;695.421875;117.624626
77;860.692566;695.589478;118.122635
78;859.398071;695.669495;118.856956
79;858.132874;695.622192;119.49102
80;857.186096;695.556458;120.306587
81;856.262756;695.582703;120.903923
82;855.219604;695.885864;121.512169
83;853.646851;695.923096;122.80233
84;852.266235;695.949036;123.92186
85;851.232422;695.967041;125.398087
86;849.755981;696.24939;126.102951
87;848.296204;696.502502;126.394218
88;846.887756;696.512024;127.610039
89;845.001343;696.973938;129.1922
90;843.052612;697.108948;130.731659
91;841.32428;697.212952;131.911011
92;839.336548;697.230347;133.289185
93;837.211182;697.067444;134.752487
94;834.779907;697.434326;136.555481
95;832.014893;697.493103;138.215271
96;829.694763;697.694275;139.247162
97;826.850281;697.609192;141.009796
98;824.056213;697.793335;142.170471
99;820.793945;697.590759;144.143753
100;817.749146;697.591125;146.04985
101;814.296875;697.604675;147.553207
102;810.530396;697.707214;149.462311
103;807.21283;697.555542;150.920746
104;803.539673;697.57312;151.664566
105;799.685852;697.555542;153.687256
106;795.236694;697.425598;155.947891
107;791.370911;697.256653;157.625504
108;787.584534;697.390015;158.288071
109;783.679321;697.406921;159.287415
110;779.16217;697.244202;161.00351
111;774.650574;697.173767;162.314377
112;770.77655;697.209106;163.317993
113;766.441589;697.051575;164.264206
114;761.915039;696.965271;165.255096
115;757.621826;696.814392;166.062866
116;753.30426;696.764954;166.694824
117;748.703186;696.81189;167.390411
118;744.147156;696.866943;167.969086
119;739.85144;696.849182;168.326233
120;735.499512;696.774963;168.766464
121;731.112915;696.455139;169.520035
122;726.359863;696.362244;170.238037
123;721.915405;696.504578;170.657181
