Frame;1_X;1_Y;1_Z
1;888.855774;665.671753;109.577538
2;888.866333;665.641724;109.621544
3;888.836426;665.709167;109.664848
4;888.84552;665.688232;109.645508
5;888.817261;665.780029;109.654007
6;888.785767;665.745361;109.613739
7;888.774231;665.778564;109.721352
8;888.686646;665.806763;109.649025
9;888.653137;665.873474;109.598564
10;888.625549;665.854553;109.685616
11;888.445984;665.848816;109.738976
12;888.337891;665.921326;109.789352
13;888.258911;666.010559;109.830383
14;888.126953;666.056641;109.958672
15;887.971069;666.211853;110.23069
16;887.797729;666.31842;110.505867
17;887.579895;666.311646;110.815605
18;887.353516;666.431763;111.381371
19;887.004883;666.565247;111.930122
20;886.497742;666.759216;112.651344
21;886.124695;666.881287;113.532578
22;885.285095;667.082764;114.705605
23;884.544006;667.573181;115.526474
24;883.804199;667.96283;116.053772
25;882.969421;668.293518;116.706909
26;881.963745;668.640015;117.657829
27;880.532166;669.069458;119.275276
28;879.196838;669.306213;120.812653
29;878.145935;669.214478;121.847084
30;876.88916;669.548584;121.976646
31;875.197327;669.82373;123.019463
32;873.59906;670.176819;124.210808
33;872.092896;670.469177;125.189354
34;870.245483;670.806763;126.053123
35;868.569153;671.03302;127.185349
36;866.808411;671.48877;128.065674
37;864.665222;671.911865;128.822479
38;861.850525;672.227234;130.390503
39;859.868713;672.955994;131.509354
40;857.781799;673.107239;133.079346
41;854.954285;673.341858;134.084488
42;852.044312;673.868103;135.79245
43;849.454468;674.234253;136.757965
44;846.507568;674.623657;137.826828
45;843.281311;674.917908;138.876465
46;840.380127;675.248413;140.739807
47;836.72699;675.555176;141.994247
48;833.351563;675.919434;143.043442
49;830.244019;676.056152;143.826614
50;826.598694;676.247559;145.226501
51;822.922424;676.576965;146.292847
52;819.338623;676.810791;147.523941
53;815.294739;676.944641;148.524185
54;811.855408;676.961792;149.600037
55;808.097412;677.30249;150.303543
56;803.920654;677.5354;151.748581
57;799.928589;677.528992;152.682693
58;795.943726;677.646851;153.372833
59;792.374695;677.709534;153.852951
60;788.450928;677.647949;154.518036
61;784.100098;677.684998;155.252563
62;780.065735;677.673523;156.268311
63;776.142029;677.899109;156.233261
64;772.205811;678.003113;156.311859
65;767.732666;677.663147;157.437912
66;763.977783;677.739929;157.873062
67;760.237061;677.797729;158.013992
68;756.082092;677.698608;157.86673
69;752.181458;677.691467;157.848526
70;748.556396;677.581543;158.066544
71;744.499878;677.726563;157.971375
72;740.396118;677.883667;158.213791
73;736.753601;677.839417;157.632477
74;733.023743;677.783386;157.439926
75;729.23645;677.752869;157.111023
76;725.699768;678.017517;157.145279
77;722.210815;678.023376;156.849625
78;718.873474;677.88678;156.107315
79;715.199585;678.064514;155.553177
80;712.122559;678.09314;155.191833
81;708.95813;677.848877;154.641815
82;705.71875;677.941956;154.069962
83;702.52356;677.790161;153.570313
84;699.683105;677.802429;152.731674
85;697.048645;677.769409;152.217056
86;694.110596;677.920227;150.903458
87;691.148315;678.090332;150.424759
88;688.751038;678.022278;149.780655
89;686.226196;677.967041;149.081619
90;683.36969;678.194702;148.005951
91;681.245117;678.139282;147.066269
92;678.91803;677.96106;145.827789
93;676.354614;677.95105;145.182159
94;674.08136;677.913574;144.276428
95;671.990356;677.809509;143.31926
96;670.04126;677.808899;142.12674
97;667.621582;677.825195;141.706924
98;665.98822;677.71228;140.202393
99;664.390625;677.841614;138.67627
100;662.409363;677.778076;137.935898
101;660.731628;677.613953;136.940323
102;659.364929;677.599609;135.847931
103;657.452332;677.588684;135.273117
104;656.182312;677.648254;134.089371
105;654.787598;677.41095;132.684616
106;653.620605;677.62793;131.29303
107;651.987305;677.616089;130.387161
108;650.706177;677.55127;129.670609
109;649.731934;677.417419;128.669937
110;648.668579;677.548401;127.283585
111;647.639893;677.622681;126.118279
112;646.613586;677.521057;124.775841
113;645.755066;677.453491;123.916245
