Frame;1_X;1_Y;1_Z
1;721.280151;89.246864;21.449089
2;719.089417;89.755478;21.452156
3;717.114441;90.198532;21.506638
4;715.03894;90.914146;21.023304
5;712.776184;91.50412;21.218443
6;710.669556;92.052727;21.202543
7;708.583984;92.490807;21.059595
8;706.21814;92.971313;21.191755
9;703.952332;93.284119;20.978035
10;701.897278;93.931908;20.9137
11;699.64386;94.226524;21.018654
12;697.429993;94.807671;20.857122
13;695.097229;95.346542;20.889177
14;692.616882;95.79628;21.174217
15;690.529236;96.188148;20.849161
16;688.262024;96.491531;21.058651
17;685.796204;96.75016;20.817022
18;683.663086;97.094017;20.567196
19;681.184937;97.258499;20.732367
20;679.242371;97.658096;20.38364
21;676.71582;98.185562;20.515594
22;674.557861;98.29451;20.266682
23;672.271912;98.862625;20.19026
24;670.074402;98.951736;20.472462
25;667.901978;98.984245;20.144606
26;665.670837;99.106216;19.971201
27;663.470703;98.816681;20.290535
28;661.379578;98.891335;20.072027
29;658.969543;98.551491;20.248289
30;656.982178;98.405396;19.950464
31;655.188538;98.409958;19.761208
32;652.997559;98.20536;19.572262
33;651.000061;98.060425;19.481617
34;649.042603;97.600067;19.584501
35;646.800049;97.067207;19.834082
36;644.965759;96.935486;19.789436
37;643.07843;96.555389;19.510717
38;641.112915;96.138535;19.441504
39;639.283691;95.641838;19.331161
40;637.450684;94.988708;19.668348
41;635.644714;94.785103;19.705723
42;633.829895;94.359673;19.254927
43;631.951111;93.562195;18.986759
44;630.239624;92.801476;19.132799
45;628.495789;92.447105;19.077164
46;626.677063;91.863136;18.932005
47;625.137146;90.875496;18.95528
48;623.297485;89.964264;18.907593
49;621.659607;89.420029;18.71109
50;620.246094;88.600349;18.831467
51;618.492615;87.544052;18.978771
52;616.951233;86.827583;18.52323
53;615.461487;85.970222;18.62281
54;613.892517;84.885399;18.986113
55;612.296875;84.128105;18.684006
56;610.899353;83.285088;18.669041
57;609.613464;81.89801;18.689285
58;608.06073;81.142555;18.555084
59;606.667053;80.101341;18.479748
60;605.509338;78.596046;18.336733
61;604.218323;77.758415;18.152569
62;602.72876;76.536568;18.29575
63;601.378296;75.322784;18.265413
64;600.248474;74.341316;18.292625
65;599.040527;72.923111;18.10799
66;597.700623;71.778343;17.959183
67;596.349365;70.609505;18.287981
68;595.367798;69.077263;18.30953
69;594.268494;67.996674;18.062159
70;593.066589;66.707092;18.042862
71;591.828613;65.48101;17.99362
72;590.831482;64.307755;17.906181
73;589.949951;62.607967;17.873747
74;588.968445;61.461243;17.623268
75;587.931274;60.119141;17.707535
76;586.802368;58.727283;17.648563
77;585.773621;57.589748;17.574804
78;584.8078;55.988628;17.815653
79;583.871277;54.741062;18.006367
80;582.903809;53.387314;17.773762
81;581.979431;52.022732;17.587498
82;581.16217;50.73246;16.970304
83;580.327332;49.273876;17.204458
84;579.39679;48.073132;17.443884
85;578.331909;46.587349;17.575113
86;577.431946;45.146343;17.579607
87;576.513794;44.062473;17.389612
88;575.558655;42.562443;17.299166
89;574.816711;41.383503;17.180859
90;574.068176;40.072926;17.380085
91;573.333435;38.489803;17.363724
92;572.572144;37.381744;17.146935
93;571.782593;35.916687;17.14757
94;570.985474;34.679573;17.007782
95;570.23053;33.138931;16.996075
96;569.406799;31.569796;17.085979
97;568.808472;30.565447;17.016533
98;568.259583;28.737329;16.899652
99;567.694824;27.463137;16.989092
100;566.953613;26.05468;16.907166
101;566.37616;24.296604;16.942522
102;565.892273;22.932072;16.807974
103;565.26355;21.211378;16.926888
104;564.749573;19.877123;16.889624
105;564.262085;18.085276;16.83045
106;563.8125;16.549061;16.648455
107;563.366333;14.841627;16.412432
108;562.897461;13.124899;16.606199
109;562.442993;11.960444;16.941889
