Frame;1_X;1_Y;1_Z
1;884.199707;397.733521;32.42625
2;884.079163;397.771637;32.413651
3;884.224243;397.738342;32.380009
4;884.188049;397.735107;32.311382
5;884.221619;397.724915;32.361626
6;884.17981;397.732178;32.335491
7;884.208984;397.65155;32.431114
8;884.149292;397.620087;32.369286
9;884.19281;397.59549;32.281975
10;884.279175;397.50589;32.399338
11;884.299133;397.459564;32.365582
12;884.271667;397.340363;32.28117
13;884.323608;397.223206;32.272015
14;884.302429;397.088226;32.220638
15;884.337646;396.941772;32.139084
16;884.362;396.700775;32.076694
17;884.434204;396.231934;31.681063
18;884.451721;395.748108;31.514675
19;884.469788;395.392487;31.671309
20;884.457458;394.753448;31.56143
21;884.516113;393.95108;31.4786
22;884.546936;392.978973;31.476858
23;884.519348;392.073456;31.43549
24;884.566467;391.347076;31.603004
25;884.538696;390.484436;31.734875
26;884.50647;389.354645;32.037258
27;884.547852;388.196594;32.31628
28;884.589722;387.148407;32.305134
29;884.646423;385.791718;32.090981
30;884.64917;384.270752;31.760361
31;884.731628;383.176422;31.682604
32;884.578064;381.990601;31.628046
33;884.355835;380.482452;31.782297
34;884.547852;379.249664;32.040176
35;884.664917;377.852783;32.046131
36;884.934753;376.070099;31.857569
37;885.131958;374.602936;31.714766
38;884.888184;372.947418;31.818733
39;884.698181;371.504578;31.922897
40;884.717407;370.054718;31.87027
41;884.758179;368.283386;31.988874
42;884.990356;366.829071;31.706989
43;884.962769;364.951202;31.394566
44;884.828735;363.426208;31.467691
45;884.881531;361.798737;31.769068
46;884.877258;359.81778;31.630396
47;884.795166;358.347626;31.690098
48;884.559265;356.504303;31.282892
49;884.416687;355.040924;31.290974
50;884.311157;353.121796;31.590374
51;884.425903;351.368469;31.395012
52;884.271729;349.487244;31.441523
53;884.421936;347.473419;31.263296
54;884.129639;345.795898;31.291758
55;883.72699;343.992218;31.494452
56;883.986816;342.145599;31.455282
57;884.101868;339.989624;31.544622
58;884.400452;338.345856;31.117571
59;884.072205;336.242798;30.884525
60;883.791382;334.348389;31.55319
61;883.752747;332.285583;31.498095
62;884.025024;330.469421;31.045511
63;884.386597;328.23468;30.699894
64;884.338562;326.598785;30.967644
65;884.159607;324.532532;31.338158
66;884.162598;322.708679;31.368793
67;884.020081;320.515503;31.15486
68;884.097412;318.641388;30.508282
69;883.939941;316.632019;30.699184
70;884.33429;314.934845;31.397654
71;884.297974;312.826599;31.495108
72;884.231506;311.018951;31.217987
73;884.128418;309.174774;30.870708
74;884.201782;307.193146;30.803421
75;884.136414;305.248291;30.911442
76;884.17865;303.323334;30.935129
77;884.104248;301.39978;31.081556
78;884.058594;299.578369;30.987743
79;884.050171;297.838104;30.937675
80;883.784119;295.649017;30.717205
81;883.71698;294.073181;30.71096
82;883.562317;292.131226;30.730738
83;883.768005;290.66214;30.551817
84;883.776855;288.485291;30.838057
85;883.752625;286.58609;30.905329
86;883.576782;284.668304;30.827002
87;883.203674;283.105621;30.583784
88;883.342041;281.60437;30.407223
89;883.431885;279.73642;30.548649
90;883.573364;278.207825;30.538393
91;883.386658;276.231354;30.293411
92;883.487732;274.630219;30.560165
93;883.433716;272.916687;30.731857
94;883.431335;271.233215;30.729721
95;883.407104;269.724701;30.498196
96;883.361145;267.79129;30.320076
97;883.372498;266.326477;30.304577
98;883.459229;264.70932;30.354136
99;883.359009;263.151245;30.473248
100;883.471558;261.584595;30.715115
101;883.479248;259.772491;30.909105
102;883.250732;258.382202;30.615532
103;883.072937;256.943542;30.222559
104;883.011658;255.281372;30.10375
105;883.148499;254.186508;30.150013
106;883.185486;252.654877;30.470535
107;883.140686;251.152664;30.575613
108;882.901978;249.862381;30.391682
109;882.891479;248.166077;30.546375
110;882.803772;246.688385;30.599222
111;882.673279;245.820862;30.105068
112;882.548889;244.524338;30.059383
113;882.437866;243.263168;30.415936
114;882.350769;242.282394;30.59852
115;882.225159;240.930222;30.651896
116;882.241882;239.350998;30.461485
117;882.102783;238.506012;30.120956
118;881.860291;237.439774;29.851522
119;881.632507;236.16861;29.928947
120;881.526306;235.019333;30.222912
121;881.406677;234.170181;30.219362
122;881.184204;232.89093;30.334423
123;881.248596;231.540466;30.184498
124;881.25177;230.749847;30.000717
125;881.179443;229.662415;30.021551
126;880.957336;228.306168;30.130114
127;880.654175;227.011749;30.169804
128;880.375427;226.295059;30.11158
129;880.06842;225.268661;29.923161
130;879.833496;224.085632;30.071629
131;879.793884;223.145309;29.999746
132;879.758606;222.414688;29.796915
133;879.643555;221.411423;29.605976
134;879.527405;220.313538;29.772129
135;879.151855;219.154953;29.90777
136;879.028809;218.482178;29.621201
137;879.034912;217.392548;29.961586
138;878.752014;216.311005;30.093458
139;878.491211;215.456207;29.858767
140;878.474548;214.936554;29.649677
141;878.444519;214.212769;29.460609
142;878.346008;213.146271;29.403948
143;878.157043;212.109497;29.742523
144;877.928284;211.192551;29.93469
145;878.169983;210.322861;29.794458
146;878.213989;209.371155;29.706497
147;878.390259;208.473358;29.63862
148;878.127625;207.327957;29.796591
149;878.065552;206.726212;29.702719
150;878.06366;206.066879;29.490917
151;878.052673;205.123779;29.474478
152;877.907837;204.071915;29.364174
153;877.843689;203.217606;29.564257
154;877.860107;202.595139;29.722063
155;877.982178;201.753998;29.531113
156;877.989258;200.656357;29.396523
157;877.875488;199.674362;29.482882
158;877.908691;198.880066;29.599316
159;877.902893;198.404633;29.443995
160;877.839722;197.663101;29.382509
161;877.854858;196.560501;29.612621
162;877.797607;195.624268;29.817574
163;877.772095;194.789536;29.775444
164;877.737793;194.292755;29.740965
165;877.515442;193.487274;29.57976
166;877.517334;192.707031;29.54554
167;877.514221;191.895065;29.60688
168;877.561035;191.095932;29.592287
169;877.53363;190.5905;29.476904
170;877.489075;189.92128;29.346273
171;877.3172;189.066467;29.310469
172;877.133728;188.143967;29.314529
173;876.978516;187.407761;29.40073
174;876.906006;186.864044;29.326395
175;876.829651;186.41832;29.181896
176;876.703613;185.7659;29.359558
177;876.721252;184.899521;29.427204
178;876.764038;184.013077;29.799152
179;876.666321;183.348236;29.995461
180;876.71759;182.784775;29.969971
181;876.640747;182.391113;29.648453
